R ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
65,0.178,0.57,0.381,0.489,0.464,100.944,0.46,65,1.054,0.949,0.955
66,0.178,0.566,0.384,0.49,0.462,104.366,0.479,66,1.059,0.944,0.951
67,0.176,0.564,0.385,0.483,0.465,92.141,0.464,67,1.039,0.962,0.947
68,0.174,0.561,0.378,0.478,0.464,112.171,0.39,68,1.03,0.971,0.935
69,0.171,0.558,0.368,0.477,0.457,160.808,0.391,69,1.043,0.959,0.939
70,0.173,0.559,0.364,0.478,0.46,177.3,0.4,70,1.04,0.962,0.937
71,0.172,0.557,0.365,0.478,0.459,170.446,0.394,71,1.042,0.96,0.937
72,0.176,0.556,0.374,0.477,0.469,148.203,0.348,72,1.018,0.983,0.923
73,0.177,0.56,0.38,0.484,0.467,93.321,0.357,73,1.037,0.964,0.935
74,0.177,0.561,0.381,0.488,0.462,87.784,0.314,74,1.056,0.947,0.929
75,0.176,0.56,0.379,0.486,0.462,92.228,0.321,75,1.051,0.951,0.926
76,0.173,0.562,0.374,0.471,0.467,25.005,0.319,76,1.007,0.993,0.926
77,0.173,0.564,0.368,0.475,0.463,6.894,0.421,77,1.025,0.975,0.935
78,0.172,0.562,0.369,0.474,0.461,175.145,0.445,78,1.029,0.972,0.938
79,0.173,0.563,0.37,0.475,0.465,2.76,0.365,79,1.022,0.978,0.933
80,0.176,0.564,0.378,0.476,0.472,67.202,0.478,80,1.007,0.993,0.941
81,0.177,0.563,0.386,0.482,0.467,95.339,0.444,81,1.033,0.968,0.938
82,0.177,0.565,0.385,0.485,0.464,94.757,0.49,82,1.044,0.958,0.946
83,0.175,0.563,0.381,0.476,0.469,88.221,0.464,83,1.016,0.984,0.947
84,0.173,0.562,0.37,0.473,0.467,132.757,0.456,84,1.014,0.986,0.946
85,0.173,0.562,0.368,0.472,0.466,0.991,0.452,85,1.012,0.989,0.943
86,0.173,0.56,0.368,0.474,0.464,175.497,0.449,86,1.022,0.979,0.94
87,0.175,0.561,0.374,0.475,0.47,132.118,0.432,87,1.01,0.99,0.943
88,0.176,0.558,0.38,0.477,0.471,93.761,0.415,88,1.014,0.986,0.94
89,0.177,0.559,0.385,0.482,0.468,83.193,0.451,89,1.03,0.971,0.944
90,0.177,0.558,0.385,0.484,0.466,92.215,0.451,90,1.037,0.965,0.946
91,0.174,0.559,0.378,0.472,0.468,97.163,0.429,91,1.008,0.992,0.946
92,0.173,0.558,0.371,0.473,0.465,22.556,0.433,92,1.018,0.982,0.944
93,0.173,0.558,0.367,0.475,0.464,171.783,0.377,93,1.024,0.976,0.934
94,0.174,0.556,0.368,0.475,0.465,172.945,0.397,94,1.022,0.979,0.938
95,0.176,0.557,0.373,0.475,0.471,49.169,0.385,95,1.008,0.992,0.933
96,0.176,0.557,0.38,0.478,0.469,102.352,0.468,96,1.019,0.982,0.936
97,0.177,0.556,0.385,0.483,0.467,96.525,0.466,97,1.035,0.966,0.941
98,0.174,0.556,0.383,0.475,0.467,92.559,0.449,98,1.018,0.983,0.949
99,0.172,0.556,0.377,0.47,0.467,75.346,0.477,99,1.008,0.992,0.945
100,0.172,0.555,0.372,0.474,0.461,174.971,0.462,100,1.028,0.973,0.942
101,0.172,0.558,0.365,0.474,0.463,9.068,0.415,101,1.025,0.976,0.94
102,0.175,0.558,0.366,0.474,0.47,87.594,0.377,102,1.007,0.993,0.932
103,0.176,0.561,0.374,0.479,0.468,97.091,0.374,103,1.023,0.977,0.924
104,0.177,0.563,0.381,0.481,0.468,91.426,0.394,104,1.029,0.972,0.944
105,0.176,0.564,0.383,0.481,0.466,92.031,0.43,105,1.031,0.97,0.947
106,0.175,0.564,0.377,0.478,0.466,98.778,0.416,106,1.025,0.976,0.945
107,0.174,0.564,0.372,0.473,0.468,48.453,0.367,107,1.012,0.988,0.936
108,0.173,0.564,0.367,0.473,0.465,1.72,0.359,108,1.017,0.983,0.931
109,0.173,0.561,0.369,0.473,0.465,6.608,0.35,109,1.017,0.983,0.933
110,0.174,0.563,0.375,0.473,0.468,176.618,0.376,110,1.011,0.989,0.95
111,0.176,0.561,0.38,0.476,0.47,85.709,0.376,111,1.013,0.987,0.949
112,0.177,0.562,0.382,0.481,0.468,88.36,0.382,112,1.028,0.972,0.946
113,0.176,0.562,0.383,0.481,0.466,84.599,0.416,113,1.032,0.969,0.943
114,0.175,0.561,0.381,0.477,0.468,73.482,0.414,114,1.018,0.982,0.942
