 ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.154,0.821,0.662,0.463,0.423,94.509,0.872,1,1.095,0.913,0.955
2,0.172,7.269,0.442,0.474,0.462,167.683,0.771,1,1.025,0.975,0.931
3,0.163,0.823,0.68,0.479,0.434,86.06,0.859,2,1.104,0.906,0.945
4,0.187,7.274,0.507,0.513,0.463,89.577,0.822,2,1.108,0.902,0.943
5,0.156,0.828,0.732,0.46,0.432,71.344,0.825,3,1.067,0.937,0.938
6,0.187,7.276,0.506,0.523,0.455,90.791,0.793,3,1.151,0.869,0.944
7,0.159,0.831,0.76,0.48,0.422,83.033,0.693,4,1.138,0.879,0.933
8,0.175,7.285,0.58,0.496,0.45,124.036,0.776,4,1.102,0.907,0.932
9,0.153,0.836,0.835,0.48,0.406,90.204,0.747,5,1.182,0.846,0.904
10,0.178,7.278,0.628,0.493,0.459,108.066,0.766,5,1.074,0.931,0.932
11,0.14,0.835,1.009,0.435,0.411,0.583,0.879,6,1.06,0.943,0.955
12,0.183,7.27,0.8,0.531,0.438,90.863,0.756,6,1.212,0.825,0.935
13,0.141,0.834,1.041,0.44,0.409,5.866,0.883,7,1.077,0.929,0.952
14,0.173,7.267,0.836,0.495,0.444,89.434,0.802,7,1.114,0.898,0.946
15,0.148,0.838,1.081,0.447,0.422,84.566,0.911,8,1.061,0.943,0.96
16,0.156,7.262,0.886,0.477,0.417,2.164,0.88,8,1.144,0.874,0.961
17,0.144,0.841,1.112,0.433,0.423,54.183,0.908,9,1.024,0.977,0.959
18,0.162,7.26,0.927,0.461,0.448,20.945,0.847,9,1.029,0.972,0.952
19,0.138,0.844,1.155,0.443,0.397,6.073,0.891,10,1.117,0.895,0.957
20,0.169,7.258,0.956,0.487,0.443,87.317,0.874,10,1.098,0.911,0.962
21,0.146,0.846,1.185,0.44,0.423,42.622,0.91,11,1.041,0.96,0.96
22,0.161,7.255,0.997,0.46,0.445,167.454,0.85,11,1.033,0.968,0.953
23,0.149,0.851,1.22,0.442,0.429,81.476,0.91,12,1.03,0.971,0.959
24,0.155,7.252,1.028,0.472,0.419,176.875,0.847,12,1.127,0.887,0.955
25,0.142,0.856,1.255,0.447,0.404,7.783,0.865,13,1.105,0.905,0.952
26,0.166,7.247,1.065,0.464,0.455,80.453,0.799,13,1.021,0.979,0.945
27,0.144,0.861,1.284,0.445,0.412,17.384,0.874,14,1.08,0.926,0.956
28,0.168,7.244,1.097,0.479,0.445,86.375,0.881,14,1.075,0.93,0.957
29,0.146,0.862,1.321,0.44,0.423,79.222,0.873,15,1.041,0.961,0.953
30,0.16,7.242,1.13,0.471,0.432,172.804,0.905,15,1.09,0.917,0.962
31,0.143,0.865,1.353,0.435,0.419,13.98,0.895,16,1.04,0.962,0.952
32,0.159,7.239,1.16,0.469,0.432,174.043,0.905,16,1.086,0.921,0.961
33,0.14,0.869,1.384,0.441,0.403,10.205,0.899,17,1.094,0.914,0.955
34,0.167,7.236,1.189,0.479,0.444,86.17,0.864,17,1.077,0.928,0.951
35,0.148,0.871,1.414,0.444,0.424,70.375,0.893,18,1.046,0.956,0.955
36,0.165,7.233,1.218,0.469,0.449,90.902,0.846,18,1.044,0.958,0.953
