 ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
338,0.129,6.841,0.349,0.438,0.376,89.458,0.784,169,1.165,0.858,0.906
339,0.137,1.482,0.539,0.424,0.411,93.914,0.845,170,1.031,0.97,0.943
340,0.133,6.838,0.347,0.441,0.385,83.753,0.772,170,1.146,0.872,0.91
341,0.142,1.471,0.54,0.434,0.417,103.211,0.846,171,1.041,0.961,0.94
342,0.133,6.834,0.347,0.447,0.38,89.866,0.779,171,1.175,0.851,0.92
343,0.141,1.47,0.541,0.436,0.412,107.553,0.821,172,1.059,0.945,0.942
344,0.133,6.832,0.345,0.444,0.381,97.365,0.786,172,1.164,0.859,0.93
345,0.145,1.463,0.536,0.44,0.42,69.826,0.77,173,1.046,0.956,0.928
346,0.136,6.821,0.339,0.445,0.388,91.896,0.749,173,1.149,0.871,0.936
347,0.139,1.456,0.535,0.426,0.415,72.249,0.765,174,1.028,0.973,0.935
348,0.135,6.818,0.338,0.443,0.387,92.367,0.733,174,1.145,0.873,0.928
349,0.139,1.451,0.526,0.427,0.414,48.077,0.766,175,1.031,0.97,0.939
350,0.133,6.81,0.338,0.437,0.387,91.712,0.667,175,1.129,0.886,0.927
351,0.137,1.451,0.523,0.422,0.412,42.264,0.761,176,1.026,0.975,0.933
352,0.137,6.796,0.343,0.443,0.392,86.798,0.774,176,1.13,0.885,0.923
353,0.137,1.449,0.524,0.425,0.411,60.45,0.802,177,1.034,0.967,0.937
354,0.136,6.791,0.344,0.446,0.388,89.783,0.762,177,1.149,0.87,0.929
355,0.139,1.45,0.527,0.435,0.408,66.147,0.817,178,1.067,0.938,0.935
356,0.136,6.789,0.347,0.449,0.387,90.65,0.753,178,1.161,0.862,0.923
357,0.14,1.452,0.527,0.436,0.409,79.849,0.745,179,1.066,0.938,0.926
358,0.138,6.778,0.345,0.443,0.398,101.717,0.694,179,1.114,0.898,0.91
359,0.14,1.458,0.533,0.437,0.409,93.67,0.806,180,1.069,0.936,0.933
360,0.138,6.777,0.345,0.444,0.396,105.257,0.746,180,1.122,0.892,0.919
361,0.137,1.463,0.531,0.439,0.396,81.25,0.743,181,1.108,0.902,0.93
362,0.138,6.77,0.339,0.446,0.393,109.364,0.713,181,1.136,0.88,0.911
363,0.134,1.469,0.529,0.426,0.402,79.676,0.77,182,1.059,0.944,0.932
364,0.139,6.76,0.343,0.434,0.409,112.733,0.762,182,1.063,0.941,0.923
365,0.137,1.474,0.524,0.421,0.414,95.861,0.735,183,1.017,0.983,0.928
366,0.132,6.744,0.352,0.434,0.388,92.579,0.729,183,1.116,0.896,0.912
367,0.136,1.475,0.521,0.427,0.405,68.35,0.763,184,1.054,0.949,0.932
368,0.132,6.743,0.35,0.436,0.385,94.656,0.768,184,1.13,0.885,0.917
369,0.135,1.482,0.525,0.425,0.405,64.708,0.729,185,1.05,0.953,0.925
370,0.136,6.734,0.351,0.44,0.395,87.932,0.773,185,1.115,0.897,0.923
371,0.141,1.495,0.515,0.441,0.406,85.471,0.78,186,1.086,0.921,0.935
372,0.136,6.732,0.35,0.441,0.391,88.767,0.72,186,1.128,0.886,0.924
373,0.144,1.505,0.518,0.449,0.408,76.352,0.863,187,1.1,0.909,0.942
374,0.136,6.732,0.351,0.442,0.392,89.037,0.723,187,1.128,0.886,0.925
375,0.142,1.505,0.522,0.446,0.404,85.467,0.827,188,1.102,0.908,0.933
376,0.143,6.723,0.349,0.447,0.407,76.412,0.795,188,1.099,0.91,0.937
377,0.142,1.51,0.527,0.442,0.408,78.016,0.8,189,1.084,0.922,0.936
378,0.14,6.719,0.351,0.442,0.404,77.713,0.679,189,1.095,0.913,0.921
379,0.139,1.513,0.519,0.433,0.408,78.798,0.7,190,1.062,0.942,0.9
380,0.135,6.712,0.353,0.44,0.39,77.021,0.757,190,1.128,0.887,0.929
381,0.138,1.526,0.52,0.434,0.405,63.65,0.662,191,1.071,0.934,0.89
382,0.134,6.709,0.351,0.438,0.388,79.389,0.753,191,1.129,0.886,0.934
383,0.137,1.538,0.522,0.435,0.401,50.465,0.587,192,1.085,0.921,0.885
384,0.135,6.712,0.348,0.442,0.388,80.708,0.759,192,1.141,0.877,0.937
385,0.138,1.549,0.521,0.438,0.401,53.874,0.647,193,1.093,0.915,0.899
386,0.135,6.713,0.351,0.443,0.388,80.914,0.771,193,1.141,0.876,0.933
387,0.142,1.572,0.519,0.444,0.406,79.689,0.636,194,1.093,0.915,0.914
388,0.136,6.709,0.35,0.444,0.391,81.17,0.745,194,1.135,0.881,0.931
389,0.14,1.583,0.529,0.443,0.401,75.65,0.617,195,1.105,0.905,0.908
390,0.136,6.708,0.349,0.446,0.389,78.349,0.693,195,1.145,0.873,0.928
391,0.138,1.612,0.533,0.437,0.403,84.358,0.785,196,1.086,0.921,0.933
392,0.135,6.72,0.347,0.427,0.403,94.773,0.85,196,1.06,0.943,0.94
393,0.138,1.612,0.534,0.438,0.402,74.523,0.817,197,1.088,0.919,0.94
394,0.136,6.719,0.347,0.429,0.403,93.017,0.888,197,1.063,0.941,0.948
395,0.139,1.616,0.534,0.443,0.398,69.927,0.79,198,1.114,0.898,0.936
396,0.136,6.715,0.346,0.428,0.405,88.912,0.878,198,1.055,0.947,0.951
397,0.138,1.624,0.541,0.435,0.402,51.708,0.824,199,1.081,0.925,0.937
398,0.136,6.714,0.345,0.429,0.404,85.922,0.868,199,1.062,0.941,0.946
399,0.143,1.631,0.537,0.447,0.407,45.707,0.81,200,1.097,0.912,0.938
400,0.137,6.717,0.346,0.427,0.407,89.704,0.862,200,1.05,0.953,0.948
401,0.139,1.635,0.537,0.44,0.402,46.282,0.768,201,1.096,0.912,0.931
402,0.138,6.716,0.346,0.431,0.407,87.336,0.879,201,1.058,0.945,0.951
403,0.148,1.651,0.531,0.444,0.424,51.416,0.727,202,1.048,0.955,0.941
404,0.137,6.716,0.345,0.428,0.407,83.246,0.871,202,1.051,0.951,0.948
405,0.147,1.653,0.53,0.439,0.427,65.024,0.73,203,1.028,0.973,0.936
406,0.137,6.718,0.346,0.43,0.405,81.102,0.871,203,1.063,0.941,0.95
407,0.143,1.656,0.533,0.439,0.415,65.383,0.72,204,1.058,0.945,0.929
408,0.137,6.718,0.345,0.43,0.405,80.789,0.862,204,1.062,0.942,0.948
409,0.141,1.656,0.527,0.444,0.406,65.732,0.656,205,1.094,0.914,0.917
410,0.134,6.72,0.344,0.431,0.394,75.686,0.788,205,1.092,0.915,0.936
411,0.138,1.66,0.526,0.445,0.394,65.243,0.654,206,1.13,0.885,0.927
412,0.139,6.728,0.341,0.432,0.409,97.5,0.737,206,1.055,0.948,0.931
413,0.145,1.665,0.522,0.442,0.417,72.313,0.685,207,1.061,0.942,0.93
414,0.139,6.726,0.339,0.432,0.408,94.992,0.734,207,1.059,0.944,0.928
415,0.142,1.667,0.522,0.434,0.417,73.223,0.713,208,1.039,0.963,0.921
416,0.138,6.728,0.338,0.433,0.407,93.82,0.747,208,1.063,0.941,0.926
417,0.14,1.679,0.524,0.44,0.404,75.742,0.775,209,1.089,0.919,0.931
418,0.135,6.732,0.338,0.431,0.399,101.663,0.693,209,1.079,0.926,0.92
419,0.142,1.679,0.52,0.449,0.403,74.612,0.747,210,1.113,0.899,0.93
420,0.137,6.73,0.338,0.433,0.404,95.623,0.699,210,1.073,0.932,0.921
421,0.142,1.682,0.521,0.445,0.407,71.102,0.74,211,1.094,0.914,0.93
422,0.138,6.73,0.338,0.436,0.403,98.117,0.687,211,1.083,0.924,0.925
423,0.142,1.684,0.521,0.446,0.405,71.455,0.729,212,1.103,0.907,0.926
424,0.138,6.731,0.337,0.436,0.404,95.517,0.684,212,1.078,0.928,0.923
425,0.143,1.684,0.522,0.442,0.413,61.575,0.773,213,1.071,0.934,0.933
426,0.137,6.732,0.341,0.437,0.398,102.012,0.7,213,1.098,0.911,0.925
427,0.144,1.681,0.522,0.439,0.418,59.097,0.758,214,1.051,0.952,0.936
428,0.136,6.732,0.344,0.431,0.401,105.002,0.645,214,1.075,0.931,0.914
429,0.141,1.68,0.514,0.429,0.419,39.984,0.662,215,1.025,0.975,0.916
430,0.137,6.733,0.344,0.432,0.403,105.658,0.656,215,1.072,0.933,0.915
