 ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.193,1.436,0.377,0.531,0.463,94.769,0.78,1,1.149,0.871,0.958
2,0.148,1.441,0.593,0.442,0.425,159.89,0.266,2,1.04,0.961,0.758
3,0.184,1.446,0.795,0.507,0.462,90.471,0.821,3,1.096,0.912,0.964
4,0.177,1.454,1.017,0.48,0.468,97.194,0.754,4,1.025,0.976,0.932
5,0.182,1.462,1.213,0.511,0.454,88.803,0.837,5,1.125,0.889,0.973
6,0.174,1.473,1.429,0.479,0.462,87.41,0.764,6,1.035,0.966,0.936
7,0.18,1.482,1.628,0.507,0.452,89.085,0.887,7,1.121,0.892,0.972
8,0.174,1.491,1.841,0.48,0.462,70.732,0.739,8,1.037,0.964,0.939
9,0.178,1.501,2.038,0.497,0.456,89.739,0.866,9,1.091,0.917,0.969
10,0.135,1.508,2.251,0.422,0.407,6.271,0.279,10,1.037,0.964,0.733
11,0.178,1.517,2.436,0.5,0.455,88.737,0.882,11,1.098,0.91,0.971
12,0.134,1.524,2.654,0.417,0.41,170.816,0.275,12,1.019,0.981,0.739
13,0.132,1.529,2.846,0.41,0.409,60.731,0.268,13,1.002,0.998,0.723
14,0.133,1.536,3.057,0.416,0.406,1.188,0.261,14,1.024,0.976,0.737
15,0.131,1.545,3.247,0.409,0.406,75.929,0.24,15,1.007,0.993,0.712
16,0.175,1.548,3.458,0.486,0.458,87.103,0.804,16,1.061,0.942,0.957
17,0.13,1.556,3.649,0.408,0.405,39.769,0.246,17,1.006,0.994,0.707
18,0.175,1.56,3.854,0.487,0.458,89.009,0.768,18,1.064,0.939,0.958
19,0.13,1.568,4.049,0.409,0.406,46.653,0.258,19,1.009,0.991,0.705
20,0.176,1.574,4.252,0.486,0.46,89.513,0.811,20,1.058,0.945,0.962
21,0.172,1.579,4.446,0.477,0.46,86.552,0.714,21,1.035,0.966,0.943
22,0.178,1.586,4.645,0.497,0.455,91.577,0.792,22,1.092,0.916,0.96
23,0.173,1.591,4.841,0.479,0.459,86.465,0.632,23,1.044,0.958,0.942
24,0.177,1.597,5.039,0.494,0.456,86.091,0.846,24,1.083,0.923,0.964
25,0.176,1.603,5.235,0.488,0.46,95.481,0.833,25,1.062,0.941,0.963
26,0.177,1.608,5.43,0.499,0.451,88.282,0.747,26,1.106,0.904,0.963
27,0.176,1.611,5.623,0.493,0.456,87.818,0.811,27,1.082,0.924,0.966
28,0.178,1.616,5.819,0.5,0.453,91.366,0.86,28,1.105,0.905,0.971
29,0.176,1.623,6.017,0.494,0.454,90.441,0.837,29,1.089,0.919,0.968
30,0.177,1.626,6.213,0.498,0.453,91.572,0.822,30,1.101,0.908,0.967
31,0.176,1.633,6.409,0.493,0.455,90.107,0.837,31,1.086,0.921,0.964
32,0.177,1.638,6.607,0.497,0.452,90.195,0.887,32,1.1,0.909,0.971
33,0.176,1.64,6.802,0.493,0.454,89.435,0.853,33,1.087,0.92,0.965
34,0.176,1.644,6.992,0.494,0.452,88.736,0.847,34,1.093,0.915,0.97
35,0.176,1.65,7.189,0.49,0.457,89.963,0.833,35,1.074,0.932,0.963
36,0.176,1.653,7.381,0.496,0.453,89.561,0.874,36,1.095,0.913,0.968
37,0.177,1.659,7.577,0.495,0.456,85.763,0.876,37,1.087,0.92,0.975
38,0.175,1.662,7.77,0.495,0.451,91.683,0.879,38,1.099,0.91,0.972
39,0.174,1.665,7.965,0.49,0.453,90.006,0.785,39,1.08,0.926,0.968
40,0.176,1.669,8.155,0.497,0.452,90.869,0.865,40,1.1,0.909,0.968
41,0.131,1.673,8.351,0.412,0.405,97.395,0.257,41,1.017,0.984,0.726
42,0.174,1.677,8.545,0.485,0.456,87.046,0.793,42,1.063,0.941,0.959
43,0.173,1.679,8.739,0.483,0.456,92.349,0.771,43,1.06,0.943,0.966
44,0.174,1.682,8.929,0.485,0.456,95.823,0.734,44,1.064,0.94,0.957
45,0.176,1.686,9.122,0.49,0.457,91.73,0.811,45,1.071,0.934,0.96
46,0.174,1.687,9.315,0.487,0.455,92.913,0.791,46,1.072,0.933,0.961
47,0.135,1.691,9.506,0.418,0.41,109.597,0.251,47,1.019,0.981,0.748
48,0.172,1.693,9.699,0.484,0.454,95.825,0.823,48,1.065,0.939,0.962
49,0.136,1.693,9.891,0.422,0.411,112.688,0.241,49,1.026,0.975,0.756
50,0.134,1.695,10.079,0.416,0.409,130.49,0.281,50,1.017,0.983,0.75
51,0.127,1.698,10.26,0.419,0.386,176.621,0.342,51,1.086,0.921,0.748
