R ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.416,12.454,0.543,0.486,84.969,0.692,12,1.118,0.894,0.938
2,1.435,12.241,0.548,0.498,83.189,0.537,13,1.1,0.909,0.879
3,1.44,12.023,0.554,0.489,85.908,0.562,14,1.132,0.883,0.889
4,1.455,11.796,0.542,0.497,78.993,0.592,15,1.09,0.918,0.898
5,1.478,11.6,0.565,0.51,104.529,0.568,16,1.108,0.902,0.899
6,1.471,11.376,0.544,0.508,138.285,0.437,17,1.07,0.934,0.811
7,1.482,11.148,0.533,0.504,114.741,0.476,18,1.058,0.945,0.835
8,1.485,10.933,0.548,0.509,128.598,0.469,19,1.077,0.928,0.84
9,1.494,10.72,0.538,0.491,126.807,0.518,20,1.098,0.911,0.828
10,1.521,10.493,0.593,0.482,86.767,0.622,21,1.23,0.813,0.908
11,1.522,10.276,0.593,0.486,85.609,0.57,22,1.221,0.819,0.902
12,1.546,10.087,0.531,0.511,167.742,0.469,23,1.041,0.961,0.831
13,1.557,9.462,0.546,0.503,163.14,0.495,26,1.085,0.922,0.887
14,1.579,9.256,0.525,0.511,122.845,0.561,27,1.028,0.973,0.926
15,1.578,9.07,0.576,0.484,88.08,0.525,28,1.19,0.841,0.888
16,1.593,8.87,0.589,0.489,105.423,0.422,29,1.206,0.829,0.904
17,1.584,8.648,0.541,0.521,80.895,0.543,30,1.037,0.965,0.878
18,1.596,8.445,0.548,0.498,96.118,0.547,31,1.1,0.909,0.881
19,1.597,8.24,0.543,0.498,95.708,0.398,32,1.089,0.918,0.819
20,1.604,8.026,0.547,0.493,93.982,0.432,33,1.109,0.902,0.852
21,1.607,7.832,0.55,0.489,79.856,0.383,34,1.124,0.89,0.824
22,1.613,7.612,0.526,0.486,82.937,0.625,35,1.083,0.924,0.927
23,1.613,7.407,0.525,0.485,77.693,0.611,36,1.084,0.923,0.912
24,1.615,7.207,0.53,0.477,78.101,0.567,37,1.113,0.899,0.908
25,1.625,7.001,0.525,0.48,93.576,0.743,38,1.092,0.915,0.934
26,1.628,6.796,0.528,0.485,74.459,0.616,39,1.088,0.919,0.91
27,1.633,6.386,0.498,0.487,67.051,0.697,41,1.022,0.978,0.922
28,1.635,6.194,0.505,0.488,75.651,0.697,42,1.035,0.966,0.918
29,1.64,5.994,0.524,0.486,45.334,0.419,43,1.079,0.926,0.877
30,1.648,5.788,0.526,0.478,28.238,0.614,44,1.101,0.908,0.866
31,1.638,5.595,0.504,0.474,75.314,0.798,45,1.065,0.939,0.948
32,1.64,5.401,0.516,0.48,57.015,0.601,46,1.075,0.93,0.906
34,1.643,5.199,0.501,0.485,67.022,0.691,47,1.033,0.968,0.927
35,1.647,5.003,0.494,0.478,64.315,0.82,48,1.033,0.968,0.949
36,1.651,4.804,0.501,0.477,57.238,0.785,49,1.051,0.952,0.946
37,1.656,4.607,0.496,0.477,61.181,0.833,50,1.041,0.96,0.954
38,1.658,4.411,0.496,0.474,72.649,0.776,51,1.047,0.955,0.94
39,1.66,4.219,0.488,0.473,61.701,0.786,52,1.032,0.969,0.964
40,1.67,4.021,0.499,0.48,36.702,0.662,53,1.039,0.962,0.92
41,1.659,3.81,0.532,0.474,123.091,0.456,54,1.124,0.89,0.89
42,1.661,3.616,0.536,0.473,127.399,0.482,55,1.134,0.882,0.897
43,1.681,3.439,0.519,0.469,176.669,0.584,56,1.107,0.903,0.885
44,1.676,3.251,0.491,0.472,30.42,0.649,57,1.04,0.961,0.912
45,1.687,3.055,0.482,0.473,64.006,0.697,58,1.019,0.981,0.931
46,1.687,2.676,0.455,0.441,158.806,0.331,60,1.032,0.969,0.84
47,1.693,2.285,0.489,0.468,122.916,0.766,62,1.044,0.958,0.946
48,1.703,1.719,0.484,0.459,88.002,0.742,65,1.055,0.947,0.938
49,1.711,1.538,0.492,0.465,139.808,0.598,66,1.058,0.945,0.916
50,1.708,1.339,0.515,0.468,104.455,0.479,67,1.1,0.909,0.892
51,1.715,1.141,0.508,0.49,91.229,0.481,68,1.037,0.964,0.887
52,1.719,0.964,0.521,0.503,105.694,0.308,69,1.037,0.964,0.8
53,1.735,0.787,0.539,0.501,162.144,0.352,70,1.075,0.93,0.855
54,1.232,0.251,0.635,0.358,14.514,0.432,72,1.771,0.565,0.769
