 ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.574,12.081,0.5,0.453,179.72,0.405,4,1.105,0.905,0.788
2,1.608,11.899,0.618,0.543,123.83,0.403,5,1.138,0.878,0.819
3,1.57,11.652,0.576,0.514,89.155,0.608,6,1.121,0.892,0.926
4,1.572,11.404,0.56,0.516,82.156,0.548,7,1.085,0.922,0.914
5,1.57,11.179,0.575,0.503,79.214,0.776,8,1.144,0.874,0.943
6,1.563,10.905,0.487,0.462,11.069,0.223,9,1.053,0.95,0.776
7,1.579,10.681,0.577,0.534,68.182,0.617,10,1.082,0.924,0.928
8,1.573,10.477,0.584,0.537,84.641,0.568,11,1.087,0.92,0.901
9,1.577,10.226,0.557,0.548,7.358,0.481,12,1.018,0.982,0.891
10,1.551,9.989,0.538,0.497,88.654,0.829,13,1.082,0.924,0.965
11,1.549,9.764,0.459,0.445,142.802,0.228,14,1.033,0.968,0.716
12,1.533,9.508,0.462,0.439,163.524,0.281,15,1.054,0.949,0.741
13,1.525,9.307,0.551,0.514,95.9,0.773,16,1.072,0.933,0.955
14,1.514,9.065,0.452,0.434,156.266,0.252,17,1.043,0.959,0.72
15,1.497,8.842,0.52,0.496,114.75,0.817,18,1.049,0.953,0.959
16,1.484,8.621,0.518,0.493,100.342,0.845,19,1.049,0.953,0.955
17,1.465,8.392,0.514,0.501,111.018,0.86,20,1.026,0.975,0.96
18,1.447,8.169,0.526,0.499,98.89,0.83,21,1.054,0.949,0.957
19,1.434,7.93,0.445,0.416,161.12,0.27,22,1.069,0.935,0.701
20,1.412,7.718,0.513,0.496,99.599,0.776,23,1.036,0.965,0.955
21,1.39,7.502,0.521,0.493,91.48,0.774,24,1.057,0.946,0.954
22,1.374,7.267,0.441,0.415,171.627,0.236,25,1.062,0.941,0.686
23,1.353,7.049,0.446,0.418,176.087,0.237,26,1.068,0.936,0.686
24,1.327,6.827,0.434,0.402,171.449,0.215,27,1.081,0.925,0.671
25,1.303,6.617,0.547,0.519,110.789,0.79,28,1.054,0.948,0.949
26,1.279,6.398,0.557,0.518,109.469,0.752,29,1.076,0.93,0.949
27,1.242,6.176,0.501,0.477,168.046,0.827,30,1.05,0.952,0.952
28,1.214,5.956,0.52,0.496,127.202,0.773,31,1.048,0.954,0.957
29,1.184,5.738,0.501,0.483,151.466,0.866,32,1.036,0.966,0.956
30,1.151,5.516,0.498,0.474,169.603,0.883,33,1.05,0.952,0.963
31,1.118,5.3,0.496,0.477,159.336,0.851,34,1.041,0.961,0.957
32,1.084,5.08,0.504,0.473,170.339,0.838,35,1.064,0.94,0.951
33,1.048,4.863,0.498,0.478,171.738,0.869,36,1.041,0.961,0.961
34,1.014,4.645,0.505,0.495,155.724,0.806,37,1.019,0.981,0.95
35,0.974,4.422,0.515,0.497,115.704,0.839,38,1.036,0.965,0.957
36,0.936,4.207,0.515,0.493,122.366,0.835,39,1.044,0.958,0.958
37,0.915,4.02,0.447,0.399,7.838,0.284,40,1.121,0.892,0.71
38,0.871,3.805,0.449,0.401,10.477,0.281,41,1.121,0.892,0.71
39,0.829,3.588,0.458,0.422,4.204,0.269,42,1.083,0.923,0.743
40,0.786,3.373,0.435,0.399,11.819,0.292,43,1.093,0.915,0.697
41,0.74,3.157,0.435,0.409,13.503,0.289,44,1.065,0.939,0.703
42,0.697,2.941,0.436,0.407,16.194,0.299,45,1.07,0.935,0.703
43,0.636,2.693,0.499,0.493,119.592,0.797,46,1.011,0.989,0.947
44,0.591,2.481,0.504,0.494,119.409,0.809,47,1.02,0.98,0.942
45,0.553,2.303,0.467,0.421,14.997,0.342,48,1.11,0.901,0.766
46,0.5,2.088,0.473,0.432,17.177,0.29,49,1.094,0.914,0.772
47,0.447,1.87,0.488,0.456,17.793,0.385,50,1.069,0.936,0.814
48,0.406,1.669,0.469,0.422,18.91,0.328,51,1.112,0.899,0.759
49,0.35,1.458,0.465,0.419,21.886,0.312,52,1.11,0.901,0.753
50,0.301,1.247,0.467,0.412,35.691,0.373,53,1.134,0.882,0.741
51,0.252,1.032,0.493,0.442,36.759,0.335,54,1.115,0.897,0.784
52,0.186,0.739,0.637,0.403,98.901,0.243,55,1.581,0.632,0.749
53,0.224,0.527,0.64,0.441,105.3,0.302,56,1.453,0.688,0.734
54,0.113,0.428,0.678,0.243,90.998,0.244,57,2.788,0.359,0.762
55,0.11,0.511,0.601,0.238,90.488,0.448,59,2.525,0.396,0.9
56,0.148,0.643,0.774,0.263,92.514,0.299,64,2.94,0.34,0.852
57,0.101,0.693,0.768,0.219,92.82,0.255,65,3.509,0.285,0.817
