 ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
2,1.557,12.336,0.436,0.42,4.737,0.413,6,1.039,0.962,0.804
3,1.572,12.118,0.472,0.424,170.535,0.333,7,1.113,0.898,0.824
4,1.575,11.924,0.457,0.416,172.733,0.363,8,1.1,0.909,0.793
5,1.566,11.497,0.424,0.415,163.556,0.333,10,1.022,0.978,0.755
6,1.563,11.326,0.51,0.461,80.781,0.705,11,1.107,0.903,0.919
7,1.565,11.114,0.511,0.45,81.683,0.802,12,1.135,0.881,0.944
8,1.566,10.9,0.505,0.456,93.013,0.75,13,1.107,0.903,0.928
9,1.569,10.695,0.507,0.468,95.403,0.695,14,1.084,0.923,0.915
10,1.565,10.488,0.498,0.462,88.307,0.771,15,1.077,0.929,0.94
11,1.564,10.28,0.505,0.453,94.295,0.678,16,1.115,0.897,0.911
12,1.564,10.079,0.494,0.459,90.315,0.661,17,1.075,0.93,0.923
13,1.549,9.87,0.498,0.466,85.395,0.59,18,1.069,0.935,0.928
14,1.617,9.652,0.604,0.434,0.703,0.572,19,1.391,0.719,0.848
15,1.616,9.461,0.601,0.447,0.874,0.519,20,1.346,0.743,0.838
16,1.55,9.258,0.482,0.478,108.887,0.765,21,1.009,0.991,0.93
17,1.541,9.054,0.479,0.462,97.261,0.785,22,1.036,0.965,0.938
18,1.538,8.858,0.483,0.479,26.638,0.601,23,1.009,0.991,0.883
19,1.532,8.654,0.484,0.476,80.302,0.765,24,1.017,0.983,0.932
20,1.532,8.453,0.495,0.468,104.199,0.773,25,1.058,0.945,0.934
21,1.529,8.256,0.496,0.467,105.982,0.696,26,1.062,0.942,0.928
22,1.52,8.05,0.492,0.462,95.529,0.719,27,1.065,0.939,0.925
23,1.52,7.854,0.498,0.471,111.336,0.678,28,1.057,0.946,0.908
24,1.51,7.652,0.494,0.465,110.797,0.646,29,1.063,0.941,0.912
25,1.508,7.457,0.494,0.473,108.008,0.732,30,1.044,0.958,0.909
26,1.505,7.254,0.499,0.48,141.666,0.697,31,1.039,0.963,0.907
27,1.486,7.054,0.485,0.471,96.419,0.665,32,1.028,0.973,0.931
28,1.476,6.859,0.493,0.454,94.242,0.762,33,1.084,0.922,0.932
29,1.464,6.659,0.49,0.469,90.466,0.655,34,1.046,0.956,0.926
30,1.46,6.462,0.492,0.466,95.372,0.655,35,1.056,0.947,0.925
31,1.453,6.261,0.488,0.455,90.531,0.846,36,1.073,0.932,0.95
32,1.439,6.071,0.489,0.457,96.104,0.667,37,1.071,0.934,0.93
33,1.432,5.874,0.486,0.46,104.899,0.686,38,1.055,0.948,0.926
34,1.421,5.679,0.483,0.45,95.181,0.853,39,1.073,0.932,0.952
35,1.415,5.485,0.484,0.454,94.746,0.818,40,1.067,0.937,0.949
36,1.403,5.291,0.485,0.451,87.48,0.863,41,1.077,0.928,0.955
37,1.39,5.093,0.483,0.45,90.639,0.845,42,1.072,0.932,0.959
38,1.382,4.9,0.486,0.455,93.639,0.827,43,1.068,0.937,0.948
39,1.368,4.706,0.48,0.452,96.085,0.74,44,1.06,0.943,0.94
40,1.356,4.514,0.478,0.455,95.122,0.722,45,1.052,0.951,0.938
41,1.346,4.322,0.462,0.449,141.475,0.827,46,1.029,0.972,0.949
42,1.331,4.13,0.462,0.451,118.833,0.771,47,1.026,0.975,0.942
43,1.318,3.939,0.461,0.451,121.91,0.768,48,1.023,0.978,0.936
44,1.301,3.742,0.469,0.463,170.817,0.738,49,1.014,0.987,0.923
45,1.29,3.547,0.476,0.462,71.807,0.661,50,1.028,0.972,0.919
46,1.273,3.355,0.474,0.46,79.739,0.723,51,1.031,0.97,0.937
47,1.256,3.154,0.474,0.452,92.685,0.788,52,1.048,0.954,0.933
48,1.242,2.96,0.476,0.452,87.163,0.719,53,1.053,0.95,0.929
49,1.228,2.777,0.467,0.461,41.41,0.661,54,1.014,0.986,0.919
50,1.205,2.595,0.462,0.457,39.743,0.648,55,1.01,0.99,0.932
51,1.191,2.402,0.463,0.455,126.461,0.733,56,1.018,0.983,0.937
52,1.175,2.21,0.466,0.453,111.144,0.706,57,1.029,0.971,0.92
53,1.154,2.025,0.456,0.441,83.968,0.687,58,1.034,0.967,0.924
54,1.121,1.685,0.429,0.388,13.213,0.373,60,1.106,0.905,0.788
55,1.091,1.305,0.441,0.393,20.177,0.394,62,1.123,0.891,0.79
56,1.062,0.929,0.463,0.394,10.806,0.332,64,1.173,0.852,0.763
