R ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.49,12.067,1.058,0.927,88.637,0.554,7,1.142,0.876,0.923
2,1.494,11.375,1.101,0.897,88.347,0.664,9,1.228,0.814,0.932
3,1.489,11.008,1.008,0.891,176.37,0.524,10,1.131,0.884,0.923
4,1.51,10.691,1.101,0.889,83.656,0.504,11,1.238,0.808,0.909
5,1.534,10.279,1.026,0.937,58.213,0.37,12,1.095,0.913,0.805
6,1.546,9.956,1.091,0.939,63.417,0.369,13,1.162,0.861,0.89
7,1.532,9.605,1.087,0.908,91.109,0.588,14,1.198,0.835,0.91
8,1.54,8.935,1.121,0.896,85.26,0.412,15,1.252,0.799,0.881
9,1.564,8.557,1.008,0.906,173.471,0.416,16,1.112,0.899,0.876
10,1.557,8.26,1.022,0.94,92.232,0.564,17,1.087,0.92,0.924
11,1.561,7.867,1.021,0.952,85.795,0.501,18,1.073,0.932,0.924
12,1.562,7.573,0.96,0.914,3.111,0.613,19,1.05,0.952,0.95
13,1.575,6.851,0.961,0.896,171.099,0.509,20,1.073,0.932,0.921
14,1.582,6.532,1.078,0.881,86.684,0.583,21,1.223,0.818,0.935
15,1.591,6.161,0.937,0.925,168.942,0.696,22,1.012,0.988,0.947
16,1.591,5.868,0.938,0.924,95.554,0.713,23,1.016,0.984,0.949
17,1.605,5.497,1.028,0.893,90.842,0.689,24,1.151,0.869,0.944
18,1.609,5.194,0.974,0.82,177.57,0.691,25,1.187,0.843,0.935
19,1.614,4.849,1.055,0.867,92.979,0.755,26,1.217,0.822,0.963
20,1.62,4.494,0.948,0.911,166.018,0.606,27,1.041,0.961,0.937
21,1.623,4.196,1.002,0.888,92.109,0.768,28,1.129,0.886,0.958
22,1.628,3.83,0.98,0.9,90.988,0.718,29,1.089,0.918,0.955
23,1.632,3.531,0.953,0.863,174.716,0.728,30,1.105,0.905,0.954
24,1.639,3.181,1.023,0.873,90.628,0.721,31,1.172,0.853,0.96
25,1.65,2.541,1.003,0.894,83.543,0.484,33,1.121,0.892,0.926
26,1.661,2.186,0.948,0.928,87.214,0.591,34,1.022,0.978,0.92
27,1.668,1.54,0.997,0.869,87.133,0.708,36,1.147,0.872,0.948
28,1.675,0.907,0.991,0.869,89.764,0.675,38,1.14,0.877,0.945
29,1.681,0.199,0.79,0.373,179.17,0.354,41,2.117,0.472,0.807
