 ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.027,12.304,0.678,0.673,121.768,0.782,5,1.007,0.993,0.961
2,0.99,12.215,0.68,0.647,170.121,0.836,6,1.052,0.951,0.964
3,0.952,12.129,0.677,0.659,147.282,0.816,7,1.026,0.975,0.967
4,0.915,12.022,0.686,0.661,101.159,0.799,8,1.039,0.962,0.955
5,0.876,11.933,0.665,0.655,99.992,0.826,9,1.015,0.985,0.964
6,0.839,11.841,0.67,0.659,64.707,0.729,10,1.017,0.983,0.951
7,0.806,11.743,0.676,0.647,78.646,0.848,11,1.044,0.958,0.968
8,0.769,11.64,0.663,0.648,60.391,0.812,12,1.023,0.977,0.961
9,0.734,11.547,0.662,0.635,12.922,0.844,13,1.041,0.96,0.963
10,0.692,11.452,0.657,0.643,141.846,0.846,14,1.021,0.98,0.969
11,0.657,11.356,0.664,0.651,169.753,0.775,15,1.02,0.98,0.954
12,0.619,11.267,0.658,0.649,171.596,0.747,16,1.013,0.987,0.953
13,0.583,11.185,0.664,0.647,91.46,0.745,17,1.028,0.973,0.947
14,0.54,11.093,0.664,0.637,78.9,0.843,18,1.042,0.959,0.966
15,0.503,11.004,0.651,0.637,54.998,0.809,19,1.022,0.979,0.953
16,0.463,10.917,0.646,0.633,22.375,0.88,20,1.019,0.981,0.97
17,0.424,10.825,0.645,0.625,175.349,0.854,21,1.033,0.968,0.967
18,0.386,10.742,0.653,0.616,176.961,0.804,22,1.06,0.943,0.957
19,0.347,10.66,0.646,0.608,173.46,0.783,23,1.062,0.942,0.959
20,0.308,10.583,0.641,0.624,173.134,0.819,24,1.026,0.974,0.964
21,0.28,10.497,0.647,0.634,56.392,0.772,25,1.021,0.98,0.96
22,0.247,10.419,0.648,0.596,86.559,0.813,26,1.089,0.919,0.958
23,0.228,10.341,0.658,0.57,90.792,0.718,27,1.155,0.866,0.955
