 ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.401,11.956,0.9,0.67,175.94,0.417,6,1.343,0.744,0.763
2,1.395,11.649,1.027,0.831,89.003,0.873,7,1.237,0.809,0.968
3,1.398,11.24,0.887,0.67,176.959,0.342,8,1.323,0.756,0.764
4,1.397,11,1.03,0.835,89.366,0.873,9,1.235,0.81,0.962
5,1.396,10.607,0.935,0.891,100.729,0.851,10,1.05,0.953,0.951
6,1.399,10.334,0.972,0.876,93.673,0.862,11,1.109,0.901,0.956
7,1.407,9.95,1.016,0.849,90.448,0.822,12,1.196,0.836,0.958
8,1.409,9.588,0.861,0.678,176.554,0.363,13,1.269,0.788,0.731
9,1.412,9.314,1.04,0.836,89.005,0.836,14,1.244,0.804,0.955
10,1.414,8.963,0.931,0.808,174.011,0.85,15,1.153,0.867,0.954
11,1.411,8.676,0.993,0.864,88.725,0.829,16,1.149,0.871,0.956
12,1.413,8.296,0.928,0.884,89.01,0.827,17,1.05,0.952,0.958
13,1.413,8.032,0.916,0.884,84.899,0.81,18,1.037,0.964,0.954
14,1.417,7.665,1.012,0.852,88.069,0.871,19,1.187,0.843,0.963
15,1.415,7.356,0.922,0.821,174.256,0.753,20,1.123,0.89,0.93
16,1.415,7.053,1.025,0.842,89.405,0.884,21,1.218,0.821,0.96
17,1.412,6.705,0.907,0.841,174.744,0.88,22,1.079,0.926,0.956
18,1.416,6.43,0.954,0.859,92.238,0.892,23,1.11,0.901,0.961
19,1.414,6.06,0.927,0.864,91.176,0.868,24,1.073,0.932,0.954
20,1.413,5.793,0.895,0.853,171.343,0.773,25,1.049,0.953,0.94
21,1.419,5.437,0.995,0.846,89.992,0.826,26,1.176,0.85,0.949
22,1.411,5.142,0.916,0.803,177.884,0.746,27,1.141,0.876,0.942
23,1.414,4.823,0.985,0.844,88.194,0.887,28,1.167,0.857,0.958
24,1.412,4.489,0.891,0.873,103.351,0.821,29,1.02,0.981,0.947
25,1.411,4.224,0.916,0.864,90.47,0.909,30,1.06,0.943,0.965
26,1.416,3.863,0.947,0.853,92.26,0.898,31,1.11,0.901,0.96
27,1.405,3.595,0.905,0.809,177.922,0.845,32,1.119,0.894,0.948
28,1.411,3.256,0.954,0.839,88.089,0.837,33,1.138,0.879,0.949
29,1.402,3.005,0.834,0.69,177.482,0.324,34,1.208,0.828,0.745
30,1.404,2.655,0.933,0.847,89.699,0.848,35,1.102,0.908,0.948
31,1.406,2.387,0.826,0.741,4.871,0.38,36,1.114,0.897,0.771
32,1.394,2.108,0.824,0.708,177.587,0.385,37,1.163,0.86,0.769
33,1.402,1.772,0.802,0.776,37.152,0.327,38,1.033,0.968,0.775
34,1.406,1.511,0.835,0.649,3.802,0.364,39,1.287,0.777,0.727
35,1.393,1.128,0.912,0.838,86.764,0.867,40,1.088,0.919,0.947
36,1.399,0.892,0.847,0.68,5.669,0.42,41,1.247,0.802,0.763
37,1.394,0.607,0.842,0.719,8.99,0.439,42,1.17,0.854,0.779
