 ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
6,1.444,12.94,1.699,0.615,0.27,0.184,6,2.764,0.362,0.544
7,1.409,12.5,0.795,0.712,91.509,0.857,7,1.116,0.896,0.968
8,1.407,12.191,0.693,0.628,169.638,0.355,8,1.105,0.905,0.771
9,1.401,11.91,0.794,0.707,175.494,0.809,9,1.123,0.89,0.958
10,1.396,11.64,0.794,0.737,89.826,0.829,10,1.077,0.929,0.966
11,1.388,11.352,0.816,0.711,90.139,0.875,11,1.148,0.871,0.974
12,1.379,11.038,0.829,0.704,90.346,0.827,12,1.178,0.849,0.961
13,1.367,10.724,0.807,0.722,91.635,0.859,13,1.118,0.895,0.97
14,1.356,10.419,0.748,0.716,173.496,0.853,14,1.043,0.958,0.971
15,1.343,10.114,0.662,0.553,169.368,0.266,15,1.199,0.834,0.653
16,1.33,9.841,0.643,0.592,154.055,0.265,16,1.085,0.922,0.668
17,1.308,9.57,0.829,0.693,91.197,0.881,17,1.197,0.836,0.974
18,1.291,9.26,0.794,0.689,90.969,0.889,18,1.153,0.868,0.973
19,1.27,8.951,0.731,0.709,118.621,0.87,19,1.032,0.969,0.967
20,1.255,8.646,0.623,0.499,169.737,0.271,20,1.25,0.8,0.605
21,1.224,8.388,0.758,0.743,145.851,0.796,21,1.02,0.98,0.948
22,1.193,8.127,0.826,0.723,96.023,0.814,22,1.142,0.876,0.955
23,1.171,7.833,0.799,0.695,93.287,0.879,23,1.149,0.87,0.971
24,1.138,7.533,0.785,0.721,93.89,0.815,24,1.088,0.919,0.959
25,1.117,7.256,0.73,0.677,173.018,0.676,25,1.078,0.928,0.941
26,1.074,6.974,0.76,0.699,173.096,0.711,26,1.087,0.92,0.95
27,1.056,6.688,0.599,0.502,170.836,0.2,27,1.192,0.839,0.592
28,0.996,6.431,0.808,0.714,96.255,0.781,28,1.132,0.883,0.962
29,0.96,6.144,0.809,0.711,94.297,0.789,29,1.138,0.878,0.961
30,0.926,5.864,0.771,0.724,97.112,0.706,30,1.064,0.939,0.95
31,0.885,5.594,0.751,0.71,161.751,0.791,31,1.059,0.944,0.96
33,0.814,5.068,0.698,0.679,177.428,0.785,33,1.029,0.972,0.959
34,0.756,4.8,0.596,0.578,60.139,0.231,34,1.031,0.969,0.655
35,0.713,4.533,0.595,0.557,33.588,0.26,35,1.068,0.937,0.647
36,0.663,4.261,0.611,0.532,16.5,0.265,36,1.147,0.872,0.646
37,0.612,3.991,0.617,0.523,12.25,0.276,37,1.18,0.848,0.656
38,0.55,3.726,0.618,0.546,16.674,0.278,38,1.131,0.884,0.68
39,0.493,3.461,0.614,0.566,37.837,0.261,39,1.085,0.922,0.686
40,0.437,3.2,0.62,0.572,47.332,0.295,40,1.084,0.923,0.697
41,0.384,2.938,0.629,0.549,42.07,0.308,41,1.146,0.872,0.682
42,0.365,2.68,0.665,0.467,58.575,0.3,42,1.425,0.702,0.669
