 ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.522,12.408,0.807,0.677,88.53,0.739,7,1.192,0.839,0.954
2,1.55,12.096,0.781,0.736,85.209,0.544,8,1.061,0.942,0.931
3,1.556,11.785,0.804,0.737,110.778,0.469,9,1.091,0.917,0.888
4,1.563,11.474,0.794,0.726,142.996,0.611,10,1.094,0.914,0.934
5,1.544,11.155,0.771,0.715,150.273,0.513,11,1.078,0.928,0.896
6,1.547,10.908,0.814,0.72,114.682,0.573,12,1.131,0.884,0.901
7,1.546,10.582,0.826,0.718,108.961,0.362,13,1.151,0.869,0.876
8,1.551,10.291,0.816,0.704,99.005,0.567,14,1.16,0.862,0.904
9,1.555,9.977,0.846,0.688,87.128,0.546,15,1.229,0.814,0.921
10,1.56,9.645,0.808,0.705,80.455,0.553,16,1.145,0.873,0.926
11,1.565,9.356,0.796,0.712,67.846,0.44,17,1.119,0.893,0.9
12,1.561,9.059,0.741,0.708,17.34,0.435,18,1.047,0.955,0.892
13,1.561,8.795,0.754,0.73,76.151,0.379,19,1.032,0.969,0.883
14,1.564,8.525,0.781,0.712,80.16,0.457,20,1.096,0.912,0.915
15,1.568,8.223,0.82,0.691,82.404,0.626,21,1.186,0.843,0.932
16,1.572,7.929,0.827,0.695,83.591,0.494,22,1.189,0.841,0.92
17,1.574,7.637,0.821,0.693,80.797,0.408,23,1.186,0.843,0.891
18,1.588,7.338,0.756,0.73,97.971,0.601,24,1.035,0.967,0.938
19,1.599,7.063,0.767,0.725,147.831,0.528,25,1.058,0.945,0.905
20,1.601,6.786,0.771,0.713,153.098,0.442,26,1.081,0.925,0.916
21,1.59,6.506,0.747,0.717,88.298,0.592,27,1.043,0.959,0.923
22,1.591,6.224,0.786,0.705,86.186,0.596,28,1.115,0.897,0.927
23,1.594,5.924,0.77,0.698,83.395,0.647,29,1.103,0.906,0.938
24,1.596,5.634,0.764,0.693,95.608,0.733,30,1.102,0.907,0.947
25,1.599,5.351,0.752,0.698,91.526,0.708,31,1.077,0.928,0.949
26,1.603,5.077,0.717,0.701,5.647,0.682,32,1.023,0.978,0.94
27,1.6,4.811,0.717,0.686,175.956,0.544,33,1.044,0.958,0.931
28,1.604,4.54,0.713,0.712,43.832,0.596,34,1.001,0.999,0.92
29,1.601,4.269,0.721,0.694,93.549,0.748,35,1.039,0.962,0.956
30,1.608,3.981,0.742,0.694,92.725,0.722,36,1.069,0.935,0.957
31,1.611,3.696,0.756,0.693,92.835,0.743,37,1.091,0.917,0.955
32,1.616,3.415,0.752,0.7,86.668,0.576,38,1.075,0.93,0.92
33,1.614,3.15,0.713,0.702,98.479,0.567,39,1.016,0.984,0.936
34,1.618,2.623,0.731,0.689,179.634,0.589,41,1.062,0.942,0.906
35,1.616,2.356,0.73,0.7,115.887,0.555,42,1.043,0.959,0.939
36,1.618,2.083,0.739,0.691,101.261,0.525,43,1.069,0.935,0.928
37,1.615,1.809,0.742,0.687,95.54,0.61,44,1.08,0.926,0.931
38,1.621,1.565,0.716,0.687,66.891,0.31,45,1.043,0.959,0.847
39,1.628,0.993,0.727,0.705,74.296,0.489,47,1.031,0.97,0.878
42,1.62,0.288,0.721,0.583,1.348,0.355,50,1.237,0.808,0.868
43,1.628,0.155,0.61,0.303,0.279,0.455,51,2.016,0.496,0.828
44,3.132,4.166,0.599,0.193,93.492,0.313,69,3.107,0.322,0.834
45,1.981,2.363,0.535,0.282,17.319,0.317,71,1.898,0.527,0.694
