 ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.4,12.011,0.999,0.855,93.608,0.704,9,1.169,0.856,0.955
2,1.404,11.63,0.828,0.664,173.887,0.319,10,1.248,0.802,0.701
3,1.399,11.307,1.056,0.825,92.745,0.667,11,1.281,0.781,0.946
4,1.402,10.918,0.936,0.799,170.374,0.725,12,1.172,0.854,0.95
5,1.403,10.611,1.026,0.821,90.032,0.763,13,1.25,0.8,0.963
6,1.41,10.188,0.966,0.862,89.965,0.774,14,1.121,0.892,0.961
7,1.4,9.92,0.969,0.862,92.125,0.643,15,1.124,0.89,0.95
8,1.41,9.521,1.05,0.82,91.207,0.698,16,1.281,0.781,0.946
9,1.402,8.866,1.015,0.814,89.866,0.767,18,1.248,0.801,0.968
10,1.407,8.463,0.921,0.863,159.173,0.617,19,1.068,0.936,0.947
11,1.4,8.191,0.934,0.86,102.134,0.671,20,1.087,0.92,0.948
12,1.399,7.783,1,0.837,91.5,0.651,21,1.195,0.837,0.947
13,1.385,7.146,1.04,0.799,90.226,0.701,23,1.301,0.768,0.956
14,1.389,6.781,0.906,0.842,164.975,0.708,24,1.075,0.93,0.954
15,1.375,6.503,0.963,0.852,91.877,0.675,25,1.129,0.885,0.955
16,1.368,6.11,0.923,0.858,89.024,0.588,26,1.076,0.929,0.935
17,1.352,5.449,1.008,0.792,90.146,0.866,28,1.273,0.785,0.977
18,1.333,4.82,0.973,0.814,90.066,0.82,30,1.195,0.837,0.966
19,1.323,4.448,0.898,0.835,97.554,0.823,31,1.075,0.93,0.969
20,1.308,4.17,0.875,0.843,157.544,0.693,32,1.038,0.964,0.953
21,1.303,3.795,0.973,0.801,89.446,0.784,33,1.214,0.824,0.969
22,1.277,3.163,0.965,0.811,89.273,0.78,35,1.191,0.84,0.965
23,1.267,2.804,0.917,0.844,93.466,0.784,36,1.087,0.92,0.962
24,1.248,2.533,0.873,0.853,91.174,0.749,37,1.023,0.977,0.959
25,1.236,2.165,0.967,0.806,91.218,0.825,38,1.2,0.833,0.968
26,1.149,0.195,0.758,0.383,179.713,0.447,45,1.978,0.506,0.833
