R ,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,1.374,12.235,0.671,0.612,90.2,0.551,9,1.096,0.912,0.916
2,1.371,12.026,0.674,0.616,86.135,0.475,10,1.094,0.914,0.898
3,1.381,11.784,0.666,0.627,84.22,0.395,11,1.062,0.942,0.867
4,1.374,11.542,0.658,0.612,98.011,0.415,12,1.075,0.93,0.851
5,1.358,11.307,0.692,0.595,115.506,0.307,13,1.163,0.86,0.828
6,1.367,11.093,0.674,0.575,88.592,0.659,14,1.171,0.854,0.927
7,1.345,10.858,0.682,0.589,118.257,0.401,15,1.158,0.864,0.82
8,1.34,10.621,0.677,0.585,125.246,0.416,16,1.158,0.863,0.852
9,1.347,10.165,0.63,0.613,103.363,0.403,18,1.027,0.973,0.869
10,1.328,9.709,0.677,0.582,74.076,0.529,20,1.163,0.86,0.906
11,1.322,9.476,0.636,0.6,95.012,0.478,21,1.061,0.943,0.894
12,1.314,9.252,0.65,0.567,93.298,0.498,22,1.147,0.872,0.918
13,1.298,9.02,0.611,0.599,97.485,0.744,23,1.02,0.98,0.938
14,1.291,8.788,0.633,0.575,90.417,0.639,24,1.1,0.909,0.935
15,1.272,8.579,0.646,0.581,75.342,0.649,25,1.111,0.9,0.93
16,1.268,8.359,0.65,0.568,94.13,0.764,26,1.143,0.875,0.945
17,1.256,8.137,0.632,0.564,94.484,0.773,27,1.12,0.893,0.945
18,1.24,7.915,0.628,0.568,93.021,0.824,28,1.106,0.904,0.954
19,1.232,7.68,0.613,0.56,94.121,0.738,29,1.095,0.913,0.944
20,1.219,7.465,0.619,0.571,96.605,0.793,30,1.083,0.923,0.951
21,1.208,7.251,0.633,0.575,96.684,0.673,31,1.099,0.91,0.933
22,1.19,7.034,0.627,0.566,94.565,0.617,32,1.107,0.904,0.92
23,1.172,6.818,0.607,0.567,99.08,0.722,33,1.07,0.934,0.927
24,1.154,6.599,0.594,0.575,95.455,0.668,34,1.032,0.969,0.906
25,1.119,6.376,0.624,0.573,11.109,0.471,35,1.088,0.919,0.812
26,1.118,6.163,0.605,0.581,116.014,0.51,36,1.04,0.961,0.867
27,1.096,5.944,0.611,0.573,99.455,0.629,37,1.066,0.938,0.889
28,1.082,5.734,0.615,0.56,97.392,0.677,38,1.099,0.91,0.93
29,1.06,5.524,0.593,0.561,109.175,0.746,39,1.057,0.946,0.94
30,1.041,5.307,0.586,0.562,118.614,0.794,40,1.041,0.96,0.947
31,1.023,5.095,0.587,0.565,93.426,0.678,41,1.04,0.962,0.937
32,1.002,4.878,0.598,0.562,110.138,0.574,42,1.065,0.939,0.915
33,0.981,4.662,0.6,0.568,109.888,0.702,43,1.056,0.947,0.938
34,0.947,4.457,0.584,0.558,106.46,0.809,44,1.047,0.955,0.938
35,0.89,4.24,0.649,0.56,169.517,0.363,45,1.16,0.862,0.823
36,0.899,4.038,0.578,0.559,105.225,0.816,46,1.033,0.968,0.951
37,0.87,3.82,0.583,0.546,97.433,0.858,47,1.069,0.936,0.959
38,0.826,3.604,0.61,0.555,144.982,0.549,48,1.099,0.91,0.907
39,0.812,3.406,0.588,0.557,108.051,0.768,49,1.056,0.947,0.944
40,0.782,3.201,0.573,0.564,79.576,0.735,50,1.016,0.984,0.927
41,0.753,2.989,0.579,0.571,157.636,0.571,51,1.014,0.986,0.928
42,0.721,2.789,0.578,0.564,99.392,0.642,52,1.024,0.976,0.912
43,0.696,2.579,0.586,0.559,88.958,0.711,53,1.048,0.954,0.95
44,0.661,2.378,0.596,0.567,103.423,0.617,54,1.052,0.951,0.919
45,0.632,2.164,0.611,0.574,86.775,0.669,55,1.064,0.939,0.922
46,0.59,1.968,0.588,0.568,80.479,0.608,56,1.035,0.966,0.921
47,0.483,1.379,0.596,0.537,137.51,0.417,59,1.11,0.901,0.857
