R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.336573,-0.002790,0.434911,-0.002200,0.438393,0.914851,0.468425,0.074141,0.714996,1,1.953037,0.512023,0.983191
2,0.335658,-0.003058,0.436325,-0.002028,0.439693,0.912743,0.468229,179.897406,0.688485,2,1.949352,0.512991,0.979644
3,0.334786,-0.002274,0.436401,0.002046,0.440048,0.911590,0.467604,179.786159,0.668489,3,1.949492,0.512954,0.978001
4,0.342328,0.068246,0.318508,0.070413,0.321329,0.884788,0.492621,3.719184,0.700351,4,1.796083,0.556767,0.976863
5,0.394507,0.005603,0.143552,0.008413,0.140816,0.826901,0.607451,176.816609,0.800930,5,1.361263,0.734612,0.979490
6,0.418243,0.007459,0.386981,0.010261,0.387879,0.754660,0.705647,100.387108,0.834120,6,1.069458,0.935053,0.981334
7,0.457040,0.067444,0.406356,0.071497,0.408766,0.860738,0.676073,88.104365,0.847720,7,1.273144,0.785457,0.984922
8,0.476634,0.011446,0.481851,0.015271,0.477551,0.915078,0.663189,88.477546,0.795589,8,1.379814,0.724735,0.981222
9,0.462031,-0.047160,0.556645,-0.042109,0.553437,0.895993,0.656563,89.170122,0.782089,9,1.364671,0.732777,0.984351
10,0.435963,-0.056500,0.693327,-0.051033,0.693614,0.806642,0.688143,92.303052,0.847477,10,1.172200,0.853096,0.986073
11,0.401307,-0.061326,0.967388,-0.056390,0.970764,0.739827,0.690649,167.313282,0.847960,11,1.071205,0.933528,0.984309
12,0.376090,-0.064337,1.026395,-0.058554,1.031460,0.775971,0.617100,177.049354,0.824435,12,1.257447,0.795262,0.983976
13,0.366674,-0.061736,1.097047,-0.056136,1.091888,0.780008,0.598536,174.894799,0.824324,13,1.303193,0.767346,0.984434
14,0.394856,-0.046284,1.175541,-0.040114,1.176259,0.735891,0.683181,161.850661,0.859532,14,1.077154,0.928372,0.985315
15,0.432628,-0.065658,1.252910,-0.059671,1.253449,0.794820,0.693037,89.017016,0.821017,15,1.146865,0.871942,0.985209
16,0.451504,-0.072776,1.321166,-0.067017,1.319245,0.870072,0.660718,89.192907,0.819008,16,1.316859,0.759383,0.986734
17,0.448430,-0.052040,1.390467,-0.045993,1.387834,0.878077,0.650238,90.131109,0.832052,17,1.350392,0.740526,0.985817
18,0.429969,-0.061531,1.453590,-0.054910,1.449512,0.810304,0.675615,89.849354,0.843064,18,1.199357,0.833780,0.985660
19,0.402550,-0.068504,1.526687,-0.062598,1.522780,0.725488,0.706480,169.097589,0.860675,19,1.026905,0.973800,0.985828
20,0.372275,-0.064654,1.602515,-0.059870,1.601026,0.765498,0.619199,175.581517,0.832455,20,1.236272,0.808883,0.982061
21,0.365998,-0.064847,1.663349,-0.059065,1.660535,0.777464,0.599389,175.613727,0.845932,21,1.297094,0.770954,0.985706
22,0.386879,-0.070016,1.728156,-0.062751,1.725839,0.740231,0.665453,174.815027,0.869604,22,1.112371,0.898980,0.985509
23,0.422166,-0.068610,1.808940,-0.063063,1.805607,0.777190,0.691618,90.515513,0.866447,23,1.123727,0.889896,0.986227
24,0.442524,-0.068763,1.878524,-0.063902,1.877126,0.851465,0.661728,89.179311,0.811125,24,1.286729,0.777164,0.986612
25,0.447515,-0.071991,1.940837,-0.067594,1.939958,0.873530,0.652289,89.118626,0.833854,25,1.339177,0.746727,0.985883
26,0.429141,-0.074049,2.000420,-0.068509,1.994311,0.816116,0.669511,89.683663,0.828122,26,1.218973,0.820363,0.985633
27,0.401700,-0.074131,2.070179,-0.068677,2.065606,0.721619,0.708768,106.589865,0.851816,27,1.018132,0.982191,0.984640
28,0.372973,-0.075781,2.142893,-0.070797,2.139608,0.759766,0.625039,175.397987,0.822588,28,1.215549,0.822673,0.984750
29,0.368221,-0.077680,2.208941,-0.071157,2.208913,0.773064,0.606462,176.127936,0.821169,29,1.274712,0.784491,0.984327
30,0.385680,-0.078121,2.266192,-0.072392,2.268198,0.739261,0.664262,174.127582,0.828207,30,1.112906,0.898549,0.984505
31,0.413557,-0.078095,2.336438,-0.071927,2.334457,0.759016,0.693736,91.581353,0.866387,31,1.094100,0.913993,0.987612
32,0.435462,-0.080142,2.407054,-0.074603,2.406110,0.836705,0.662656,89.043628,0.837470,32,1.262654,0.791982,0.985863
33,0.441238,-0.081687,2.469808,-0.077062,2.470107,0.863254,0.650795,88.928957,0.779903,33,1.326461,0.753886,0.983243
34,0.428792,-0.082130,2.528008,-0.076432,2.527378,0.822784,0.663546,89.470027,0.828489,34,1.239979,0.806465,0.986016
35,0.403749,-0.084467,2.591886,-0.079091,2.591985,0.733989,0.700377,94.509943,0.877861,35,1.047991,0.954207,0.986342
36,0.377833,-0.086460,2.660489,-0.081848,2.659607,0.745691,0.645136,175.421058,0.873845,36,1.155867,0.865152,0.987243
37,0.365693,-0.086025,2.727118,-0.081360,2.727933,0.765485,0.608261,176.271341,0.846249,37,1.258482,0.794608,0.986187
38,0.381757,-0.086277,2.780182,-0.080984,2.782280,0.739775,0.657048,174.734158,0.862903,38,1.125906,0.888174,0.985345
39,0.405928,-0.088096,2.844760,-0.082240,2.847219,0.744075,0.694613,92.438965,0.876948,39,1.071208,0.933525,0.986232
40,0.429119,-0.088875,2.913499,-0.083439,2.915025,0.824969,0.662293,89.080125,0.849927,40,1.245624,0.802810,0.988056
41,0.437336,-0.088855,2.977561,-0.083148,2.979362,0.859037,0.648207,88.991500,0.776576,41,1.325250,0.754575,0.984954
42,0.426046,-0.090839,3.035605,-0.084498,3.037414,0.823324,0.658864,89.268582,0.819964,42,1.249611,0.800249,0.985704
43,0.402746,-0.092085,3.094420,-0.086734,3.096559,0.739749,0.693197,92.312309,0.849420,43,1.067155,0.937071,0.986309
44,0.379838,-0.093698,3.159564,-0.088235,3.160709,0.734816,0.658158,174.401648,0.864086,44,1.116473,0.895678,0.986164
45,0.365213,-0.093907,3.227466,-0.088985,3.226749,0.759006,0.612649,176.319681,0.826633,45,1.238893,0.807172,0.984778
46,0.376983,-0.094728,3.279985,-0.089205,3.279698,0.739755,0.648850,175.005377,0.855257,46,1.140102,0.877115,0.984629
47,0.398975,-0.095600,3.340163,-0.089434,3.345301,0.730710,0.695202,93.735692,0.860310,47,1.051075,0.951407,0.986367
48,0.419725,-0.095961,3.404982,-0.089126,3.407084,0.808475,0.661011,88.748610,0.788300,48,1.223090,0.817601,0.984736
49,0.431015,-0.097204,3.469136,-0.091159,3.471200,0.846960,0.647948,88.436407,0.778098,49,1.307141,0.765028,0.985032
50,0.421512,-0.098630,3.528011,-0.092623,3.529899,0.818309,0.655848,88.934831,0.765038,50,1.247711,0.801468,0.984073
51,0.400370,-0.099437,3.584482,-0.094259,3.587176,0.743051,0.686046,90.881985,0.871677,51,1.083092,0.923283,0.986308
52,0.379032,-0.100885,3.643551,-0.095737,3.641734,0.727000,0.663822,174.576598,0.857086,52,1.095173,0.913097,0.986443
53,0.363426,-0.101834,3.710713,-0.097233,3.707350,0.751427,0.615799,176.133941,0.838555,53,1.220247,0.819506,0.984559
54,0.372079,-0.101805,3.767400,-0.095902,3.764521,0.737976,0.641953,175.416948,0.854854,54,1.149578,0.869884,0.985453
55,0.392524,-0.102304,3.824322,-0.095509,3.828673,0.716905,0.697131,96.942129,0.855735,55,1.028364,0.972419,0.985418
56,0.413513,-0.102977,3.886170,-0.096468,3.889679,0.794933,0.662322,88.514978,0.878980,56,1.200222,0.833179,0.987739
57,0.424913,-0.103411,3.949053,-0.097517,3.952594,0.835589,0.647466,88.376382,0.803835,57,1.290553,0.774862,0.984720
58,0.419006,-0.104442,4.009007,-0.098433,4.012247,0.817157,0.652867,88.621861,0.833073,58,1.251644,0.798949,0.985998
59,0.399128,-0.105762,4.063481,-0.100935,4.065281,0.745519,0.681654,91.017173,0.896781,59,1.093691,0.914335,0.987276
60,0.377376,-0.107308,4.119313,-0.103199,4.117577,0.720251,0.667114,173.421531,0.871092,60,1.079653,0.926224,0.985710
61,0.362990,-0.107676,4.184044,-0.102389,4.180032,0.744480,0.620800,176.139134,0.868795,61,1.199226,0.833871,0.985415
62,0.368417,-0.107970,4.243303,-0.103195,4.239384,0.734593,0.638562,175.323402,0.870852,62,1.150386,0.869273,0.985943
63,0.387685,-0.108627,4.298466,-0.103008,4.300485,0.709709,0.695519,102.976665,0.890351,63,1.020401,0.980007,0.987837
64,0.405972,-0.109016,4.358235,-0.103606,4.362126,0.781572,0.661359,89.152133,0.849385,64,1.181766,0.846191,0.987043
65,0.417458,-0.109242,4.419456,-0.104344,4.423158,0.823878,0.645150,88.405357,0.841068,65,1.277033,0.783065,0.986327
66,0.414385,-0.110471,4.479382,-0.105969,4.483190,0.812767,0.649154,88.614812,0.836708,66,1.252040,0.798697,0.986791
67,0.397362,-0.111660,4.534250,-0.106476,4.535577,0.748841,0.675627,90.106216,0.880409,67,1.108364,0.902230,0.986900
68,0.375806,-0.112508,4.588159,-0.107421,4.586507,0.714149,0.670016,173.795233,0.872048,68,1.065868,0.938202,0.986610
69,0.363404,-0.113350,4.647933,-0.109214,4.642745,0.738216,0.626782,175.887550,0.820959,69,1.177786,0.849051,0.985810
70,0.366281,-0.113399,4.709143,-0.109483,4.704386,0.731064,0.637925,175.692195,0.852291,70,1.146003,0.872598,0.984908
71,0.384437,-0.113193,4.764172,-0.106983,4.764811,0.704297,0.694992,112.070637,0.889984,71,1.013389,0.986788,0.986410
72,0.399346,-0.113949,4.823491,-0.108009,4.828860,0.767142,0.662802,88.815179,0.875215,72,1.157422,0.863989,0.987363
73,0.410985,-0.114529,4.882604,-0.109422,4.888032,0.811387,0.644924,88.333911,0.861466,73,1.258113,0.794841,0.986167
74,0.409067,-0.115127,4.941896,-0.109570,4.947257,0.804232,0.647624,88.351062,0.830986,74,1.241820,0.805270,0.985171
75,0.393766,-0.116468,4.996665,-0.112070,4.998274,0.746360,0.671738,89.769775,0.883887,75,1.111087,0.900020,0.987213
76,0.373866,-0.117232,5.049268,-0.112921,5.049225,0.707395,0.672922,172.092804,0.883733,76,1.051228,0.951268,0.986428
77,0.361922,-0.118275,5.106084,-0.113253,5.102791,0.731575,0.629893,175.681959,0.865383,77,1.161428,0.861009,0.985606
78,0.364080,-0.117872,5.165927,-0.112314,5.161775,0.726289,0.638259,175.426868,0.868469,78,1.137922,0.878795,0.985894
79,0.379817,-0.118220,5.222732,-0.112876,5.224347,0.698564,0.692273,122.659198,0.889339,79,1.009087,0.990994,0.986443
80,0.393526,-0.118517,5.281058,-0.112880,5.289059,0.757536,0.661425,89.311971,0.860018,80,1.145309,0.873127,0.986235
81,0.403378,-0.118993,5.338591,-0.113827,5.346743,0.798906,0.642875,88.464525,0.869606,81,1.242709,0.804694,0.987198
82,0.401700,-0.119982,5.397176,-0.114334,5.404192,0.793572,0.644504,88.148810,0.853869,82,1.231291,0.812155,0.986881
83,0.390039,-0.120615,5.451753,-0.115586,5.455410,0.744384,0.667146,89.175985,0.876708,83,1.115775,0.896238,0.986440
84,0.371316,-0.121854,5.503947,-0.117330,5.503495,0.701775,0.673684,170.799126,0.886605,84,1.041698,0.959971,0.985537
85,0.361050,-0.122692,5.558461,-0.118345,5.556308,0.727525,0.631874,175.582462,0.886194,85,1.151377,0.868525,0.987011
86,0.362053,-0.122792,5.616799,-0.117652,5.612090,0.722142,0.638351,175.700870,0.872791,86,1.131262,0.883969,0.986226
87,0.375283,-0.122908,5.674201,-0.118525,5.675458,0.694134,0.688376,126.306808,0.887954,87,1.008365,0.991704,0.986790
88,0.388121,-0.123172,5.731803,-0.117510,5.738594,0.750271,0.658656,88.810992,0.880174,88,1.139093,0.877891,0.986100
89,0.395248,-0.123449,5.789554,-0.118237,5.797974,0.785421,0.640734,88.139735,0.856759,89,1.225814,0.815784,0.986240
90,0.395314,-0.123794,5.846868,-0.118758,5.855511,0.783317,0.642561,88.046335,0.863924,90,1.219054,0.820308,0.985733
91,0.384699,-0.125061,5.900839,-0.120406,5.904420,0.739747,0.662137,88.612066,0.880227,91,1.117212,0.895086,0.985153
92,0.369311,-0.126303,5.952077,-0.121591,5.951558,0.695662,0.675934,169.195061,0.895090,92,1.029187,0.971641,0.986521
93,0.359176,-0.126805,6.005430,-0.121829,6.004202,0.719182,0.635885,174.853385,0.881593,93,1.130994,0.884178,0.985910
94,0.359328,-0.126845,6.062045,-0.121234,6.060258,0.716452,0.638579,175.278417,0.881968,94,1.121946,0.891308,0.985887
95,0.371273,-0.126538,6.119853,-0.120147,6.121251,0.689977,0.685123,144.610699,0.900741,95,1.007086,0.992964,0.986878
96,0.382846,-0.126403,6.178493,-0.121528,6.185582,0.740201,0.658544,88.336820,0.878886,96,1.123997,0.889682,0.985414
97,0.389124,-0.126844,6.234588,-0.121949,6.243077,0.774070,0.640055,87.786933,0.865445,97,1.209381,0.826869,0.985673
98,0.388165,-0.127443,6.290464,-0.121844,6.298730,0.771383,0.640702,87.619566,0.858536,98,1.203967,0.830588,0.985911
99,0.379991,-0.128292,6.344265,-0.123694,6.349603,0.733479,0.659623,87.748217,0.867776,99,1.111968,0.899307,0.985055
100,0.366674,-0.129205,6.395193,-0.124268,6.394150,0.691605,0.675043,170.624144,0.889950,100,1.024535,0.976053,0.986397
101,0.357345,-0.129808,6.447321,-0.125187,6.445393,0.715078,0.636274,175.327726,0.866446,101,1.123853,0.889796,0.986165
102,0.357607,-0.129824,6.502684,-0.125274,6.499927,0.713534,0.638118,175.465383,0.871261,102,1.118185,0.894307,0.985731
