R ,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.376421,-0.017240,0.092003,-0.017237,0.092050,0.931596,0.514465,5.339665,0.614874,2,1.810804,0.552241,0.928944
2,0.426855,-0.091344,-0.122086,-0.091299,-0.122007,0.901193,0.603078,0.871233,0.703174,3,1.494323,0.669199,0.966392
3,0.452161,-0.114464,0.153687,-0.114464,0.153687,0.772991,0.744782,139.963862,0.829004,4,1.037876,0.963506,0.977528
4,0.496618,0.023589,0.370009,0.023589,0.370009,0.883211,0.715926,87.948349,0.776658,5,1.233661,0.810595,0.973188
5,0.533326,-0.016654,0.387297,-0.016648,0.387316,0.957991,0.708828,87.571572,0.734776,6,1.351514,0.739911,0.973942
6,0.518404,-0.067964,0.374270,-0.067964,0.374270,0.975817,0.676410,90.544643,0.745271,7,1.442641,0.693173,0.974549
7,0.502551,-0.041912,0.582289,-0.041912,0.582289,0.910482,0.702780,90.839513,0.854064,8,1.295543,0.771877,0.987128
8,0.465113,-0.053004,0.656439,-0.053004,0.656439,0.792163,0.747574,94.195379,0.896812,9,1.059644,0.943713,0.986198
9,0.433918,-0.050254,0.730610,-0.050254,0.730610,0.798467,0.691928,177.424947,0.886985,10,1.153975,0.866570,0.987206
10,0.419151,-0.050556,0.790328,-0.050561,0.790244,0.828191,0.644392,177.560900,0.811265,11,1.285228,0.778072,0.984145
11,0.421608,-0.048473,0.847337,-0.048473,0.847337,0.817723,0.656467,176.122072,0.879610,12,1.245641,0.802800,0.989041
12,0.455305,-0.050931,0.922255,-0.050931,0.922255,0.770636,0.752252,152.753886,0.900959,13,1.024439,0.976144,0.987705
13,0.485482,-0.048997,0.996647,-0.048997,0.996647,0.855041,0.722929,91.318410,0.880164,14,1.182745,0.845491,0.988416
14,0.502087,-0.048019,1.054664,-0.048019,1.054664,0.917176,0.697005,90.508627,0.882651,15,1.315882,0.759947,0.990133
