R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.164001,-0.036746,0.122106,-0.036746,0.122106,0.532885,0.391853,1.591311,0.839686,1,1.359909,0.735343,0.978801
2,0.163195,-0.035494,0.122668,-0.035494,0.122668,0.532000,0.390576,1.339537,0.841771,2,1.362090,0.734166,0.977911
3,0.160779,-0.038036,0.052956,-0.038036,0.052956,0.510637,0.400891,11.601462,0.834203,3,1.273755,0.785080,0.969670
4,0.186826,-0.134592,-0.161406,-0.134592,-0.161406,0.497651,0.477995,78.149613,0.881550,4,1.041121,0.960503,0.977582
5,0.180259,-0.163052,-0.000408,-0.163052,-0.000408,0.533471,0.430227,92.419332,0.872306,5,1.239976,0.806467,0.978856
6,0.175499,-0.008072,0.279694,-0.008072,0.279694,0.511914,0.436503,93.001905,0.887655,6,1.172761,0.852688,0.981099
7,0.170739,-0.016326,0.325108,-0.016326,0.325108,0.484549,0.448647,171.647975,0.899211,7,1.080024,0.925905,0.982441
8,0.163366,-0.086818,0.203948,-0.086818,0.203948,0.477876,0.435269,175.762015,0.903532,8,1.097888,0.910840,0.982889
9,0.172741,-0.064909,0.419222,-0.064909,0.419222,0.488151,0.450558,93.348197,0.899611,9,1.083437,0.922989,0.981959
10,0.176915,-0.075476,0.457754,-0.075476,0.457754,0.501661,0.449019,95.284966,0.895615,10,1.117238,0.895064,0.981446
11,0.167394,-0.079912,0.501072,-0.079912,0.501072,0.471035,0.452478,174.725168,0.910908,11,1.041010,0.960605,0.983364
12,0.163171,-0.079806,0.541519,-0.079806,0.541519,0.479319,0.433439,175.778561,0.897570,12,1.105852,0.904280,0.982219
13,0.171251,-0.069937,0.591450,-0.069937,0.591450,0.481363,0.452972,96.166963,0.906710,13,1.062677,0.941020,0.983181
14,0.176720,-0.074543,0.629099,-0.074543,0.629099,0.501667,0.448517,90.048240,0.893266,14,1.118502,0.894053,0.981826
15,0.168224,-0.077852,0.668069,-0.077852,0.668069,0.468323,0.457355,1.752235,0.907064,15,1.023980,0.976581,0.983866
16,0.161023,-0.072332,0.707474,-0.072332,0.707474,0.476143,0.430586,173.062592,0.904409,16,1.105803,0.904320,0.982571
17,0.169787,-0.070738,0.749168,-0.070738,0.749168,0.474358,0.455729,97.842078,0.905748,17,1.040877,0.960728,0.982206
18,0.176744,-0.075785,0.789009,-0.075785,0.789009,0.500766,0.449387,88.915717,0.902739,18,1.114332,0.897399,0.983028
19,0.168444,-0.075315,0.827580,-0.075315,0.827580,0.464295,0.461925,125.274950,0.909677,19,1.005129,0.994897,0.983817
20,0.161828,-0.071440,0.863327,-0.071440,0.863327,0.476162,0.432722,172.640468,0.903980,20,1.100388,0.908771,0.982292
21,0.170495,-0.073852,0.902728,-0.073852,0.902728,0.470085,0.461790,97.799149,0.909525,21,1.017962,0.982355,0.983662
22,0.175353,-0.074717,0.937804,-0.074717,0.937804,0.498235,0.448114,88.202008,0.905054,22,1.111850,0.899402,0.983636
23,0.168542,-0.073555,0.972102,-0.073555,0.972102,0.468788,0.457763,101.035746,0.912231,23,1.024083,0.976483,0.983686
24,0.162048,-0.073590,1.009297,-0.073590,1.009297,0.476122,0.433346,172.784235,0.900287,24,1.098711,0.910158,0.983043
25,0.167614,-0.076690,1.041381,-0.076690,1.041381,0.463591,0.460347,158.240688,0.902355,25,1.007045,0.993004,0.981488
26,0.174523,-0.076138,1.076330,-0.076138,1.076330,0.494591,0.449278,87.003630,0.900770,26,1.100858,0.908383,0.981938
27,0.169811,-0.076544,1.106621,-0.076544,1.106621,0.473705,0.456423,95.690165,0.902471,27,1.037865,0.963517,0.982139
28,0.162390,-0.077867,1.140910,-0.077867,1.140910,0.473809,0.436380,172.271256,0.905668,28,1.085771,0.921004,0.982425
29,0.166247,-0.080231,1.168997,-0.080231,1.168997,0.465035,0.455175,171.400378,0.911596,29,1.021662,0.978797,0.983891
30,0.173522,-0.079720,1.202113,-0.079720,1.202113,0.491685,0.449342,86.948969,0.903680,30,1.094235,0.913881,0.982854
31,0.170690,-0.080391,1.230477,-0.080391,1.230477,0.477994,0.454670,92.819551,0.907142,31,1.051299,0.951204,0.982782
32,0.162854,-0.082308,1.261563,-0.082308,1.261563,0.472518,0.438823,171.821664,0.901290,32,1.076786,0.928690,0.981751
33,0.164880,-0.083782,1.287859,-0.083782,1.287859,0.466394,0.450116,174.838088,0.909009,33,1.036162,0.965100,0.982972
34,0.172423,-0.083342,1.317909,-0.083342,1.317909,0.486975,0.450815,86.310929,0.904689,34,1.080210,0.925746,0.982815
35,0.171178,-0.084967,1.344536,-0.084967,1.344536,0.480614,0.453484,92.303825,0.904913,35,1.059826,0.943551,0.982486
36,0.162902,-0.086693,1.371630,-0.086693,1.371630,0.470303,0.441022,171.183938,0.909980,36,1.066393,0.937740,0.982914
37,0.163952,-0.087149,1.397790,-0.087149,1.397790,0.468670,0.445410,175.760701,0.903894,37,1.052222,0.950370,0.982015
38,0.171129,-0.087841,1.423414,-0.087841,1.423414,0.482567,0.451520,86.694297,0.906063,38,1.068761,0.935663,0.982963
39,0.171251,-0.089616,1.448942,-0.089616,1.448942,0.482562,0.451847,90.422973,0.901911,39,1.067976,0.936351,0.982424
40,0.163439,-0.091331,1.472712,-0.091331,1.472712,0.467698,0.444941,169.899016,0.908017,40,1.051146,0.951342,0.982969
41,0.162878,-0.091193,1.497470,-0.091193,1.497470,0.468973,0.442206,175.171366,0.901425,41,1.060532,0.942923,0.981610
42,0.170519,-0.093228,1.519837,-0.093228,1.519837,0.478929,0.453327,87.110656,0.909655,42,1.056477,0.946542,0.983180
43,0.171349,-0.094510,1.543778,-0.094510,1.543778,0.484270,0.450510,89.374165,0.907227,43,1.074937,0.930287,0.983260
44,0.164001,-0.095906,1.564324,-0.095906,1.564324,0.465097,0.448965,166.724545,0.907640,44,1.035931,0.965315,0.982379
45,0.162487,-0.096224,1.587665,-0.096224,1.587665,0.469618,0.440539,174.823226,0.904169,45,1.066008,0.938080,0.981928
46,0.169201,-0.098021,1.607277,-0.098021,1.607277,0.474014,0.454487,85.540422,0.907456,46,1.042964,0.958806,0.982981
47,0.171251,-0.099309,1.628718,-0.099309,1.628718,0.484128,0.450385,88.582718,0.906710,47,1.074920,0.930302,0.983457
48,0.164367,-0.100672,1.647898,-0.100672,1.647898,0.463527,0.451492,164.544079,0.901289,48,1.026657,0.974035,0.980986
49,0.162097,-0.101340,1.668082,-0.101340,1.668082,0.470032,0.439093,174.979812,0.908985,49,1.070461,0.934177,0.982685
50,0.168029,-0.103169,1.685960,-0.103169,1.685960,0.468783,0.456376,87.705235,0.912921,50,1.027185,0.973535,0.983707
51,0.171105,-0.104433,1.704774,-0.104433,1.704774,0.484453,0.449698,87.949949,0.905934,51,1.077285,0.928260,0.983098
52,0.165148,-0.105568,1.722569,-0.105568,1.722569,0.461314,0.455814,158.406943,0.905572,52,1.012065,0.988079,0.982143
53,0.161804,-0.106983,1.739840,-0.106983,1.739840,0.470169,0.438173,175.194951,0.908797,53,1.073021,0.931948,0.982945
54,0.167394,-0.108101,1.756160,-0.108101,1.756160,0.465587,0.457773,87.684717,0.904597,54,1.017069,0.983217,0.981816
55,0.170739,-0.109629,1.772196,-0.109629,1.772196,0.483031,0.450056,87.557343,0.912252,55,1.073269,0.931733,0.983893
56,0.166027,-0.110726,1.788398,-0.110726,1.788398,0.461776,0.457782,125.617985,0.902045,56,1.008725,0.991350,0.980466
57,0.161950,-0.112591,1.802781,-0.112591,1.802781,0.469479,0.439214,173.823618,0.908163,57,1.068906,0.935536,0.982669
58,0.166222,-0.113448,1.817821,-0.113448,1.817821,0.461701,0.458394,81.446257,0.901684,58,1.007214,0.992837,0.981619
59,0.170592,-0.115217,1.831511,-0.115217,1.831511,0.482198,0.450447,87.141577,0.911469,59,1.070489,0.934153,0.984295
60,0.166882,-0.115996,1.845658,-0.115996,1.845658,0.464022,0.457909,100.518389,0.906687,60,1.013350,0.986826,0.982749
61,0.162341,-0.118040,1.857873,-0.118040,1.857873,0.467806,0.441848,173.479460,0.901914,61,1.058749,0.944511,0.980609
62,0.165710,-0.118940,1.871152,-0.118940,1.871152,0.461006,0.457669,4.293489,0.900321,62,1.007292,0.992761,0.980783
63,0.170104,-0.120640,1.883098,-0.120640,1.883098,0.480543,0.450705,86.786641,0.899235,63,1.066205,0.937906,0.982031
64,0.167321,-0.121929,1.894786,-0.121929,1.894786,0.467687,0.455518,94.285896,0.900778,64,1.026714,0.973981,0.980403
65,0.162292,-0.123474,1.905615,-0.123474,1.905615,0.467228,0.442261,173.763031,0.911539,65,1.056454,0.946562,0.983505
66,0.165051,-0.124431,1.916485,-0.124431,1.916485,0.462437,0.454439,176.337147,0.908507,66,1.017599,0.982705,0.982775
67,0.169738,-0.125976,1.926458,-0.125976,1.926458,0.478830,0.451343,85.634660,0.906904,67,1.060901,0.942595,0.982826
68,0.167858,-0.127431,1.935950,-0.127431,1.935950,0.469593,0.455125,91.165454,0.907103,68,1.031790,0.969190,0.983621
69,0.162829,-0.128834,1.945397,-0.128834,1.945397,0.466300,0.444608,173.155743,0.909571,69,1.048790,0.953480,0.982761
70,0.164392,-0.130339,1.953878,-0.130339,1.953878,0.463486,0.451599,177.339962,0.909802,70,1.026322,0.974353,0.982994
71,0.169054,-0.131460,1.961895,-0.131460,1.961895,0.475819,0.452370,86.156888,0.908093,71,1.051836,0.950719,0.983385
72,0.168029,-0.133279,1.969257,-0.133279,1.969257,0.470943,0.454282,89.679179,0.909456,72,1.036675,0.964623,0.982864
73,0.162976,-0.134503,1.976998,-0.134503,1.976998,0.465377,0.445890,172.078583,0.906886,73,1.043704,0.958126,0.981476
74,0.163659,-0.136175,1.983268,-0.136175,1.983268,0.463375,0.449695,176.820958,0.910689,74,1.030422,0.970476,0.982991
75,0.168590,-0.137462,1.989505,-0.137462,1.989505,0.472489,0.454309,84.977026,0.907612,75,1.040018,0.961521,0.982361
76,0.168517,-0.139190,1.994633,-0.139190,1.994633,0.472044,0.454540,89.992226,0.908643,76,1.038508,0.962920,0.983333
77,0.163415,-0.140645,2.000864,-0.140645,2.000864,0.463899,0.448517,172.383373,0.909331,77,1.034293,0.966844,0.983472
78,0.163635,-0.142878,2.005068,-0.142878,2.005068,0.464861,0.448190,175.805374,0.905614,78,1.037196,0.964138,0.982340
79,0.168127,-0.143711,2.009378,-0.143711,2.009378,0.470328,0.455141,84.532444,0.909984,79,1.033366,0.967711,0.983085
80,0.168664,-0.145605,2.012865,-0.145605,2.012865,0.474213,0.452854,87.896364,0.909433,80,1.047163,0.954961,0.983558
81,0.164172,-0.147332,2.017156,-0.147332,2.017156,0.464000,0.450496,171.770983,0.912086,81,1.029977,0.970896,0.982900
82,0.163220,-0.148618,2.019506,-0.148618,2.019506,0.465611,0.446334,177.022029,0.906797,82,1.043191,0.958597,0.981359
83,0.167785,-0.150379,2.021980,-0.150379,2.021980,0.468449,0.456038,83.594625,0.898455,83,1.027214,0.973507,0.981717
84,0.168615,-0.151488,2.023589,-0.151488,2.023589,0.473283,0.453613,86.547522,0.909170,84,1.043362,0.958440,0.983693
85,0.165100,-0.152293,2.025259,-0.152293,2.025259,0.462843,0.454174,171.473661,0.905304,85,1.019089,0.981269,0.981924
86,0.163464,-0.152955,2.026032,-0.152955,2.026032,0.466183,0.446452,176.595879,0.909603,86,1.044195,0.957675,0.983477
87,0.167223,-0.154637,2.026165,-0.154637,2.026165,0.465542,0.457349,83.176766,0.908544,87,1.017913,0.982402,0.982924
88,0.168615,-0.155542,2.026438,-0.155542,2.026438,0.474111,0.452821,86.563413,0.912627,88,1.047017,0.955095,0.983903
89,0.165515,-0.156234,2.025885,-0.156234,2.025885,0.461176,0.456962,168.768401,0.909019,89,1.009221,0.990863,0.983250
90,0.163269,-0.157139,2.025507,-0.157139,2.025507,0.466015,0.446080,175.573980,0.905026,90,1.044690,0.957222,0.981725
91,0.166467,-0.158383,2.023453,-0.158383,2.023453,0.462820,0.457957,73.700033,0.914248,91,1.010619,0.989492,0.984196
92,0.168859,-0.159257,2.021967,-0.159257,2.021967,0.473696,0.453873,84.913133,0.909058,92,1.043675,0.958152,0.983297
93,0.166052,-0.160456,2.019616,-0.160456,2.019616,0.460628,0.458990,139.412627,0.907053,93,1.003568,0.996445,0.982877
94,0.163293,-0.161669,2.016943,-0.161669,2.016943,0.465668,0.446480,176.063715,0.912162,94,1.042976,0.958795,0.983749
95,0.166442,-0.162272,2.013892,-0.162272,2.013892,0.461367,0.459333,64.849194,0.909187,95,1.004429,0.995591,0.983342
96,0.168883,-0.163421,2.010230,-0.163421,2.010230,0.473286,0.454332,85.174514,0.905754,96,1.041717,0.959954,0.982043
97,0.166491,-0.165046,2.005762,-0.165046,2.005762,0.461490,0.459345,100.236787,0.899715,97,1.004670,0.995352,0.982072
98,0.163537,-0.166982,2.001370,-0.166982,2.001370,0.465552,0.447258,175.515558,0.913526,98,1.040904,0.960703,0.983917
99,0.165856,-0.167763,1.995707,-0.167763,1.995707,0.460268,0.458808,13.509237,0.912942,99,1.003181,0.996829,0.983426
100,0.168908,-0.169474,1.990259,-0.169474,1.990259,0.473362,0.454325,84.139826,0.905885,100,1.041901,0.959784,0.982603
101,0.166662,-0.171084,1.984138,-0.171084,1.984138,0.462446,0.458865,97.778600,0.906923,101,1.007805,0.992256,0.982656
102,0.163635,-0.172696,1.977403,-0.172696,1.977403,0.465350,0.447719,175.574661,0.914071,102,1.039380,0.962112,0.983710
103,0.165881,-0.173872,1.970076,-0.173872,1.970076,0.461901,0.457254,5.688519,0.904689,103,1.010164,0.989939,0.981582
104,0.169030,-0.175407,1.962383,-0.175407,1.962383,0.473186,0.454822,84.196551,0.893556,104,1.040377,0.961190,0.980875
105,0.167663,-0.176859,1.954537,-0.176859,1.954537,0.466107,0.457996,87.848783,0.902618,105,1.017711,0.982598,0.981283
