R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.300501,0.000364,0.186294,0.000364,0.186294,0.765977,0.499506,1.014391,0.803530,1,1.533468,0.652117,0.981566
2,0.285267,-0.000110,0.175835,-0.000110,0.175835,0.755582,0.480706,2.383294,0.802635,2,1.571817,0.636206,0.977796
3,0.315047,-0.060260,-0.006927,-0.060260,-0.006927,0.740347,0.541813,2.747425,0.834877,3,1.366426,0.731836,0.981065
4,0.331420,-0.164997,0.048807,-0.164997,0.048807,0.666816,0.632824,104.305441,0.869029,4,1.053715,0.949023,0.983219
5,0.333460,0.021331,0.329257,0.021331,0.329257,0.735603,0.577179,92.411503,0.866620,5,1.274479,0.784634,0.983051
6,0.352007,0.010297,0.368946,0.010297,0.368946,0.736226,0.608765,88.423548,0.885681,6,1.209375,0.826873,0.984549
7,0.333699,-0.045396,0.334948,-0.045396,0.334948,0.692352,0.613674,90.351038,0.889647,7,1.128208,0.886362,0.984869
8,0.309986,-0.025504,0.383406,-0.025504,0.383406,0.650111,0.607107,164.668627,0.897617,8,1.070833,0.933852,0.985429
9,0.307310,-0.031197,0.534436,-0.031197,0.534436,0.670419,0.583635,176.494671,0.895674,9,1.148695,0.870553,0.985555
10,0.318332,-0.033930,0.579976,-0.033930,0.579976,0.640284,0.633021,7.455945,0.904274,10,1.011473,0.988657,0.985119
11,0.335501,-0.031576,0.616085,-0.031576,0.616085,0.701114,0.609277,89.066921,0.892572,11,1.150731,0.869013,0.985908
12,0.337938,-0.026727,0.639523,-0.026727,0.639523,0.713718,0.602866,90.769649,0.891444,12,1.183875,0.844684,0.986237
13,0.324638,-0.027898,0.672524,-0.027898,0.672524,0.657411,0.628742,99.313614,0.900954,13,1.045597,0.956392,0.986236
14,0.306939,-0.022174,0.704495,-0.022174,0.704495,0.658104,0.593838,175.895126,0.895485,14,1.108222,0.902346,0.983989
15,0.303416,-0.015120,0.719523,-0.015120,0.719523,0.663626,0.582136,178.527563,0.892709,15,1.139985,0.877205,0.984737
16,0.322757,-0.012568,0.745251,-0.012568,0.745251,0.653487,0.628852,82.147528,0.900211,16,1.039175,0.962302,0.984842
17,0.340376,-0.005242,0.763100,-0.005242,0.763100,0.710583,0.609893,89.571286,0.891072,17,1.165093,0.858300,0.985955
18,0.333831,0.000269,0.771340,0.000269,0.771340,0.701418,0.605983,90.025862,0.893507,18,1.157489,0.863939,0.986147
19,0.316583,0.006541,0.790474,0.006541,0.790474,0.639784,0.630035,145.245610,0.904671,19,1.015474,0.984762,0.986298
20,0.302515,0.012404,0.796668,0.012404,0.796668,0.663060,0.580904,178.910798,0.895726,20,1.141428,0.876096,0.985287
21,0.307628,0.020260,0.795215,0.020260,0.795215,0.653123,0.599710,179.880236,0.901831,21,1.089065,0.918219,0.986072
22,0.326121,0.027414,0.808969,0.027414,0.808969,0.669800,0.619932,85.711609,0.906576,22,1.080440,0.925549,0.987247
23,0.336322,0.035178,0.806736,0.035178,0.806736,0.710305,0.602865,88.908020,0.897672,23,1.178216,0.848741,0.986900
