R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.141055,0.041710,0.158565,0.041710,0.158565,0.470248,0.381920,0.894799,0.882603,1,1.231274,0.812167,0.981117
2,0.139487,0.072889,0.161327,0.072889,0.161327,0.461726,0.384644,7.295821,0.867036,2,1.200398,0.833057,0.978172
3,0.157953,0.053491,-0.067147,0.053491,-0.067147,0.459345,0.437822,67.123109,0.891169,3,1.049159,0.953144,0.978400
4,0.153272,-0.116270,0.014474,-0.116270,0.014474,0.482607,0.404369,94.998118,0.873888,4,1.193481,0.837885,0.976297
5,0.137217,0.067515,0.282330,0.067515,0.282330,0.437759,0.399101,106.979215,0.890968,5,1.096863,0.911691,0.979043
6,0.139791,0.108908,0.336645,0.108908,0.336645,0.442943,0.401830,2.544317,0.910118,6,1.102313,0.907183,0.983372
7,0.150229,-0.013473,0.221823,-0.013473,0.221823,0.448127,0.426838,86.970978,0.905338,7,1.049877,0.952493,0.981273
8,0.141242,0.006356,0.407500,0.006356,0.407500,0.434357,0.414026,100.596483,0.909046,8,1.049104,0.953194,0.982419
9,0.135672,0.028974,0.435497,0.028974,0.435497,0.432334,0.399559,168.774539,0.892693,9,1.082028,0.924191,0.979637
10,0.146251,0.057875,0.485531,0.057875,0.485531,0.441457,0.421812,86.550235,0.909079,10,1.046573,0.955499,0.982393
11,0.145431,0.048265,0.525754,0.048265,0.525754,0.440507,0.420354,87.341507,0.907602,11,1.047943,0.954251,0.981675
12,0.136702,0.028846,0.552813,0.028846,0.552813,0.431022,0.403818,171.123603,0.903169,12,1.067368,0.936884,0.979869
13,0.142155,0.033029,0.583355,0.033029,0.583355,0.434830,0.416248,104.948189,0.903004,13,1.044642,0.957266,0.980231
14,0.145806,0.056066,0.627091,0.056066,0.627091,0.445288,0.416912,91.833628,0.904820,14,1.068061,0.936276,0.981798
15,0.138527,0.029442,0.663857,0.029442,0.663857,0.433405,0.406960,175.399621,0.902522,15,1.064984,0.938981,0.981104
16,0.141195,0.029758,0.695592,0.029758,0.695592,0.429156,0.418904,116.985727,0.905699,16,1.024473,0.976111,0.981295
