R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
141,0.251820,-0.119011,1.219972,-0.120613,1.207332,0.568518,0.563970,10.290488,0.900157,141,1.008063,0.992001,0.985487
142,0.246868,-0.120772,1.184453,-0.122464,1.171936,0.578843,0.543017,5.760195,0.895312,142,1.065977,0.938107,0.985020
143,0.248990,-0.122016,1.148593,-0.123547,1.135582,0.576128,0.550266,7.913615,0.888942,143,1.046999,0.955111,0.984746
144,0.255631,-0.123502,1.111628,-0.124786,1.098357,0.578224,0.562896,86.988741,0.902967,144,1.027232,0.973490,0.985353
145,0.259146,-0.124831,1.073998,-0.126588,1.060238,0.593103,0.556319,92.456408,0.894933,145,1.066121,0.937980,0.984523
146,0.255974,-0.126590,1.035570,-0.128222,1.020760,0.580336,0.561598,93.718471,0.910689,146,1.033366,0.967712,0.986933
147,0.249812,-0.128079,0.995338,-0.129245,0.980076,0.574344,0.553797,6.120414,0.900566,147,1.037101,0.964226,0.985372
148,0.247849,-0.129754,0.955434,-0.131037,0.939838,0.578876,0.545144,6.886222,0.891276,148,1.061876,0.941729,0.984052
149,0.252505,-0.131394,0.914505,-0.131764,0.897717,0.570802,0.563241,18.228204,0.883402,149,1.013425,0.986753,0.984123
150,0.258324,-0.132452,0.872474,-0.133711,0.855324,0.587688,0.559665,90.549618,0.905978,150,1.050071,0.952317,0.986362
151,0.258986,-0.133977,0.829014,-0.135888,0.812128,0.590081,0.558824,92.888892,0.890682,151,1.055933,0.947030,0.983959
152,0.253920,-0.135636,0.785291,-0.137627,0.767926,0.569005,0.568185,32.357015,0.902268,152,1.001442,0.998560,0.985561
153,0.249127,-0.136822,0.740433,-0.137974,0.722288,0.578603,0.548214,6.991817,0.901917,153,1.055433,0.947479,0.985154
154,0.250154,-0.138445,0.694768,-0.138703,0.676569,0.576277,0.552696,8.156035,0.895309,154,1.042665,0.959080,0.984020
155,0.256613,-0.139497,0.647930,-0.140155,0.628929,0.577590,0.565677,84.035857,0.898874,155,1.021059,0.979376,0.984718
156,0.260424,-0.140859,0.599484,-0.142078,0.579043,0.592674,0.559467,92.858942,0.906857,156,1.059355,0.943971,0.985619
157,0.257982,-0.141994,0.550374,-0.143555,0.530136,0.583461,0.562973,93.932089,0.901006,157,1.036392,0.964886,0.985485
158,0.252619,-0.143044,0.499881,-0.144430,0.480259,0.575250,0.559138,4.982610,0.904130,158,1.028817,0.971990,0.985181
159,0.250428,-0.143770,0.448131,-0.144628,0.428354,0.580880,0.548916,7.005988,0.895181,159,1.058232,0.944972,0.985053
160,0.254810,-0.144264,0.394627,-0.144929,0.374590,0.573952,0.565263,14.744749,0.901632,160,1.015372,0.984861,0.985611
161,0.262158,-0.145023,0.337428,-0.144985,0.317350,0.594413,0.561546,91.433514,0.906438,161,1.058528,0.944708,0.985290
162,0.267202,-0.145814,0.277521,-0.145752,0.257468,0.606712,0.560747,89.901464,0.887920,162,1.081970,0.924240,0.981926
163,0.253897,-0.145787,0.232354,-0.145186,0.217346,0.595703,0.542672,1.530805,0.865559,163,1.097722,0.910977,0.980911
164,0.230116,-0.145012,0.193786,-0.145276,0.174652,0.651520,0.449707,1.264223,0.812426,164,1.448766,0.690243,0.981600
165,0.230207,-0.143109,0.189442,-0.143401,0.174082,0.656420,0.446527,0.479324,0.826386,165,1.470056,0.680246,0.978181
166,0.245361,-0.140839,0.213148,-0.140523,0.200575,0.614519,0.508371,178.372983,0.835034,166,1.208802,0.827265,0.981558
167,0.260378,-0.137414,0.256025,-0.137099,0.239227,0.581200,0.570413,151.562608,0.877831,167,1.018910,0.981441,0.981124
168,0.267955,-0.134481,0.303726,-0.134526,0.284859,0.615444,0.554350,91.350451,0.894500,168,1.110209,0.900731,0.983251
169,0.272976,-0.129761,0.348655,-0.130739,0.335341,0.647490,0.536786,90.290857,0.866806,169,1.206235,0.829026,0.981536
170,0.267795,-0.126471,0.393665,-0.127954,0.373771,0.624788,0.545734,93.106056,0.873084,170,1.144858,0.873471,0.983488
171,0.255243,-0.122829,0.432889,-0.123057,0.411803,0.577834,0.562421,147.842404,0.895627,171,1.027404,0.973327,0.983079
172,0.241938,-0.117662,0.464242,-0.118319,0.445834,0.600307,0.513145,175.191882,0.892551,172,1.169858,0.854805,0.985773
173,0.247438,-0.114140,0.499099,-0.114677,0.481425,0.587347,0.536392,178.614071,0.897382,173,1.094997,0.913245,0.984071
174,0.261953,-0.108846,0.533895,-0.109746,0.515183,0.599149,0.556671,90.758452,0.888283,174,1.076306,0.929103,0.984180
175,0.269393,-0.103507,0.562645,-0.104981,0.542366,0.632645,0.542171,91.162978,0.897782,175,1.166873,0.856991,0.986008
176,0.261770,-0.099816,0.592565,-0.101077,0.571062,0.600028,0.555468,97.968562,0.903542,176,1.080222,0.925736,0.985395
177,0.248374,-0.094419,0.622628,-0.095894,0.603733,0.586814,0.538909,172.246311,0.891599,177,1.088892,0.918365,0.984620
178,0.242417,-0.088711,0.646618,-0.089779,0.631158,0.597055,0.516963,177.826074,0.895910,178,1.154929,0.865854,0.984841
179,0.252710,-0.084489,0.675761,-0.085281,0.657596,0.575403,0.559191,0.390537,0.902877,179,1.028992,0.971825,0.985318
180,0.266380,-0.078547,0.701034,-0.079726,0.683448,0.618593,0.548287,90.118254,0.902846,180,1.128229,0.886345,0.986728
181,0.266791,-0.073693,0.721978,-0.075139,0.705506,0.622102,0.546034,92.702611,0.902701,181,1.139310,0.877724,0.986706
182,0.257571,-0.069216,0.747687,-0.070002,0.729764,0.580800,0.564651,113.098031,0.888415,182,1.028600,0.972195,0.985505
183,0.244038,-0.062951,0.768840,-0.063659,0.752870,0.595881,0.521443,176.275327,0.896448,183,1.142754,0.875079,0.985984
184,0.247347,-0.057617,0.786876,-0.058510,0.770928,0.589474,0.534259,0.035633,0.894359,184,1.103348,0.906332,0.984244
185,0.258644,-0.052639,0.809226,-0.053623,0.792243,0.584583,0.563334,87.474283,0.894286,185,1.037720,0.963651,0.985350
186,0.267978,-0.046871,0.827688,-0.048272,0.811670,0.626129,0.544936,90.817883,0.901920,186,1.148996,0.870325,0.986806
187,0.263938,-0.041818,0.843562,-0.042896,0.826947,0.606650,0.553956,94.852674,0.907258,187,1.095123,0.913140,0.986522
188,0.252254,-0.036810,0.862265,-0.037408,0.845030,0.580661,0.553127,169.396177,0.899022,188,1.049777,0.952583,0.983888
189,0.244266,-0.030650,0.876311,-0.030954,0.861431,0.596649,0.521260,178.406432,0.897286,189,1.144628,0.873646,0.984818
190,0.252071,-0.025525,0.890752,-0.026419,0.875061,0.579887,0.553464,3.598998,0.899481,190,1.047742,0.954434,0.984622
191,0.264737,-0.019978,0.906356,-0.021048,0.889054,0.608072,0.554333,89.357805,0.903606,191,1.096944,0.911623,0.986143
192,0.268001,-0.014262,0.917701,-0.014905,0.902070,0.623406,0.547362,91.818578,0.894653,192,1.138928,0.878019,0.985068
193,0.259899,-0.009416,0.929158,-0.009798,0.913881,0.587627,0.563136,102.961953,0.908812,193,1.043491,0.958322,0.986657
194,0.247940,-0.004024,0.942042,-0.004409,0.927087,0.590683,0.534445,176.600637,0.900323,194,1.105227,0.904791,0.985129
195,0.247666,0.001762,0.949382,0.000561,0.934743,0.591934,0.532726,0.196058,0.891725,195,1.111141,0.899976,0.984085
196,0.258256,0.007198,0.959300,0.007054,0.943842,0.578266,0.568634,79.652981,0.903066,196,1.016940,0.983342,0.984985
197,0.267841,0.012753,0.968772,0.012674,0.952570,0.620463,0.549631,90.519897,0.905164,197,1.128873,0.885840,0.986716
198,0.265970,0.018196,0.973853,0.017928,0.958883,0.611955,0.553379,93.952338,0.901454,198,1.105852,0.904280,0.986290
199,0.255426,0.023292,0.980925,0.023146,0.965384,0.577213,0.563428,162.815538,0.893623,199,1.024467,0.976117,0.984605
200,0.246206,0.028927,0.986683,0.028949,0.972362,0.595276,0.526611,179.169682,0.894025,200,1.130391,0.884649,0.984576
201,0.251934,0.034902,0.989191,0.034651,0.974343,0.584307,0.548979,3.194438,0.884015,201,1.064352,0.939539,0.983780
202,0.263938,0.039702,0.994326,0.040252,0.978810,0.600603,0.559533,88.552600,0.903514,202,1.073400,0.931619,0.985891
203,0.269690,0.044267,0.997364,0.044570,0.982837,0.624030,0.550261,91.676534,0.898771,203,1.134062,0.881786,0.985900
204,0.262912,0.049631,0.996988,0.050205,0.983220,0.594567,0.563014,97.552176,0.906379,204,1.056043,0.946931,0.986344
205,0.251729,0.054209,0.998768,0.056274,0.984123,0.588481,0.544641,176.991293,0.902060,205,1.080493,0.925504,0.985261
206,0.249013,0.058844,0.998539,0.059784,0.983790,0.594045,0.533718,1.748121,0.893893,206,1.113031,0.898448,0.984081
207,0.257936,0.063492,0.995764,0.064564,0.981327,0.576159,0.570007,27.221949,0.899746,207,1.010794,0.989321,0.985138
208,0.267795,0.069237,0.995510,0.071208,0.979602,0.614626,0.554757,90.064789,0.902388,208,1.107919,0.902593,0.986050
209,0.268252,0.074025,0.991961,0.074997,0.976333,0.615401,0.555002,92.989041,0.896562,209,1.108825,0.901855,0.985660
210,0.259077,0.079077,0.986188,0.080527,0.971838,0.577776,0.570926,142.910688,0.893610,210,1.011998,0.988144,0.984818
211,0.249720,0.084645,0.982947,0.086158,0.967540,0.594622,0.534716,179.738680,0.901356,211,1.112032,0.899255,0.985189
212,0.252733,0.090378,0.975959,0.091915,0.960045,0.589244,0.546105,4.094989,0.900730,212,1.078995,0.926789,0.984881
213,0.263733,0.095851,0.968301,0.097528,0.951903,0.592992,0.566273,86.432958,0.895397,213,1.047185,0.954941,0.984411
214,0.270260,0.100883,0.962209,0.103345,0.945007,0.621182,0.553954,91.642208,0.898082,214,1.121361,0.891774,0.985642
215,0.266084,0.105996,0.951955,0.108165,0.935996,0.601108,0.563606,95.302140,0.901840,215,1.066540,0.937612,0.985712
216,0.255745,0.111504,0.941799,0.114044,0.926616,0.585579,0.556074,175.932537,0.898489,216,1.053060,0.949614,0.985403
217,0.251044,0.116908,0.931845,0.119114,0.916225,0.596175,0.536150,1.984862,0.902302,217,1.111956,0.899316,0.986238
218,0.258370,0.122343,0.918385,0.125241,0.902191,0.581226,0.565988,12.593270,0.899704,218,1.026922,0.973784,0.984906
219,0.268389,0.127114,0.905991,0.129823,0.888788,0.610087,0.560122,89.793344,0.895948,219,1.089204,0.918102,0.985172
220,0.270215,0.132424,0.892728,0.135007,0.874970,0.617649,0.557028,93.191071,0.895793,220,1.108831,0.901851,0.985681
221,0.262660,0.137789,0.876092,0.140616,0.859344,0.583604,0.573043,108.890848,0.894355,221,1.018430,0.981904,0.985444
222,0.253326,0.142817,0.859920,0.144982,0.843711,0.593620,0.543353,179.720334,0.897486,222,1.092512,0.915322,0.985659
223,0.254262,0.148450,0.842972,0.150803,0.825671,0.592790,0.546123,4.318711,0.897028,223,1.085452,0.921275,0.985232
224,0.264144,0.153723,0.823558,0.156329,0.805760,0.587539,0.572419,81.707227,0.903124,224,1.026415,0.974265,0.985525
225,0.271333,0.158860,0.805027,0.160992,0.786367,0.618274,0.558768,91.479891,0.900572,225,1.106494,0.903756,0.985576
226,0.268937,0.163842,0.784098,0.165957,0.766072,0.606296,0.564775,94.699759,0.901450,226,1.073517,0.931517,0.986191
227,0.259762,0.169201,0.761200,0.171231,0.743278,0.585264,0.565111,175.291044,0.904552,227,1.035662,0.965566,0.985369
228,0.253942,0.174471,0.738522,0.176390,0.720452,0.598090,0.540603,2.581698,0.893249,228,1.106339,0.903882,0.984865
229,0.260059,0.179826,0.714144,0.181832,0.694142,0.586429,0.564633,10.506665,0.891758,229,1.038603,0.962832,0.984577
230,0.269553,0.185426,0.687134,0.187829,0.667150,0.606029,0.566318,88.628378,0.907220,230,1.070121,0.934474,0.986717
231,0.273273,0.190307,0.660586,0.192651,0.639748,0.619841,0.561340,92.935317,0.897105,231,1.104217,0.905619,0.985636
232,0.267202,0.196141,0.631680,0.198629,0.612425,0.592840,0.573869,98.878836,0.899309,232,1.033057,0.968001,0.985729
233,0.258484,0.201221,0.600353,0.204067,0.581803,0.594014,0.554048,1.037160,0.903864,233,1.072136,0.932718,0.986242
234,0.257640,0.206746,0.569727,0.209033,0.550427,0.596557,0.549883,5.341675,0.888651,234,1.084880,0.921761,0.985207
235,0.265878,0.212350,0.535937,0.214789,0.515665,0.586057,0.577635,63.861420,0.907501,235,1.014579,0.985630,0.985951
236,0.273615,0.217704,0.500293,0.220605,0.480319,0.617358,0.564304,90.677725,0.905541,236,1.094018,0.914062,0.986424
