R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.168109,0.002575,0.158852,0.002575,0.158852,0.518719,0.412637,0.820384,0.831049,1,1.257082,0.795493,0.975065
2,0.166110,0.015980,0.128927,0.015980,0.128927,0.504066,0.419583,9.758858,0.821676,2,1.201351,0.832396,0.968340
3,0.188918,-0.096382,-0.039551,-0.096382,-0.039551,0.497511,0.483482,97.880453,0.861322,3,1.029017,0.971801,0.975865
4,0.184703,-0.112985,0.073508,-0.112985,0.073508,0.535309,0.439318,97.794705,0.862379,4,1.218500,0.820681,0.974956
5,0.174708,0.019216,0.284536,0.019216,0.284536,0.507164,0.438606,85.521636,0.882116,5,1.156310,0.864820,0.978353
6,0.178104,0.031961,0.201195,0.031961,0.201195,0.482765,0.469730,62.886512,0.887396,6,1.027750,0.972999,0.976302
7,0.174443,-0.024505,0.226170,-0.024505,0.226170,0.482410,0.460414,116.400579,0.897616,7,1.047774,0.954404,0.979247
8,0.177959,-0.008053,0.244244,-0.008053,0.244244,0.497914,0.455068,93.045895,0.869548,8,1.094154,0.913948,0.978870
9,0.170999,-0.011551,0.408507,-0.011551,0.408507,0.471001,0.462255,79.944309,0.905456,9,1.018921,0.981430,0.983107
10,0.168085,-0.006442,0.435659,-0.006442,0.435659,0.473489,0.451990,164.930958,0.904871,10,1.047564,0.954596,0.982059
11,0.175744,-0.005092,0.335921,-0.005092,0.335921,0.480486,0.465703,110.587406,0.907883,11,1.031745,0.969232,0.983622
12,0.174684,0.013714,0.478912,0.013714,0.478912,0.489496,0.454375,87.669827,0.902979,12,1.077296,0.928250,0.981794
13,0.168253,0.017229,0.500323,0.017229,0.500323,0.466002,0.459712,18.739748,0.906949,13,1.013682,0.986502,0.982007
14,0.170758,0.027475,0.526488,0.027475,0.526488,0.474974,0.457743,162.564651,0.905340,14,1.037643,0.963723,0.982335
15,0.174467,0.035933,0.530610,0.035933,0.530610,0.484732,0.458271,97.153735,0.907970,15,1.057740,0.945412,0.983237
16,0.170614,0.044384,0.543114,0.044384,0.543114,0.474476,0.457835,72.908657,0.906796,16,1.036347,0.964928,0.982661
17,0.167073,0.049003,0.564347,0.049003,0.564347,0.470863,0.451775,164.634261,0.906233,17,1.042251,0.959462,0.982578
18,0.172348,0.060032,0.571790,0.060032,0.571790,0.475841,0.461162,122.610487,0.909782,18,1.031830,0.969152,0.983237
19,0.174034,0.070785,0.581547,0.070785,0.581547,0.487080,0.454928,83.874079,0.911052,19,1.070674,0.933991,0.983196
20,0.167772,0.078106,0.589622,0.078106,0.589622,0.465520,0.458871,37.723572,0.909188,20,1.014490,0.985717,0.982580
21,0.167627,0.087980,0.596336,0.087980,0.596336,0.470931,0.453208,153.603016,0.901584,21,1.039107,0.962365,0.981664
22,0.173456,0.100022,0.598628,0.100022,0.598628,0.480663,0.459471,96.824329,0.908844,22,1.046121,0.955912,0.983678
23,0.170903,0.110516,0.599678,0.110516,0.599678,0.477265,0.455932,73.727861,0.898802,23,1.046790,0.955302,0.982145
24,0.166592,0.118340,0.600814,0.118340,0.600814,0.467421,0.453790,166.755647,0.907044,24,1.030037,0.970839,0.982808
25,0.170590,0.131040,0.597217,0.131040,0.597217,0.473575,0.458642,127.228099,0.910653,25,1.032559,0.968468,0.983477
26,0.173118,0.142597,0.595486,0.142597,0.595486,0.484511,0.454936,84.376336,0.911036,26,1.065009,0.938959,0.984118
27,0.167844,0.153771,0.589022,0.153771,0.589022,0.467916,0.456718,54.939367,0.902750,27,1.024519,0.976068,0.982726
28,0.166640,0.165198,0.582641,0.165198,0.582641,0.470187,0.451251,156.770155,0.905885,28,1.041964,0.959726,0.983721
29,0.172420,0.179407,0.572637,0.179407,0.572637,0.477432,0.459818,99.613909,0.911570,29,1.038306,0.963107,0.984529
30,0.171095,0.192232,0.562770,0.192232,0.562770,0.478984,0.454807,74.573170,0.903171,30,1.053158,0.949525,0.982097
31,0.166038,0.204651,0.549044,0.204651,0.549044,0.463849,0.455764,173.113608,0.907459,31,1.017738,0.982571,0.982751
32,0.169313,0.219918,0.534654,0.219918,0.534654,0.471761,0.456960,130.430816,0.907236,32,1.032390,0.968626,0.982736
33,0.172781,0.233671,0.518432,0.233671,0.518432,0.482963,0.455505,84.072493,0.901149,33,1.060281,0.943146,0.981462
34,0.167844,0.248653,0.499202,0.248653,0.499202,0.469161,0.455506,61.205536,0.907571,34,1.029979,0.970893,0.983280
35,0.165580,0.263419,0.479072,0.263419,0.479072,0.467562,0.450898,159.226294,0.909830,35,1.036957,0.964360,0.982704
36,0.171505,0.280449,0.455135,0.280449,0.455135,0.475667,0.459075,102.716636,0.900580,36,1.036141,0.965119,0.981462
37,0.171529,0.295895,0.431659,0.295895,0.431659,0.481522,0.453557,77.814395,0.900707,37,1.061658,0.941923,0.981330
38,0.166495,0.312965,0.403080,0.312965,0.403080,0.462010,0.458840,23.001727,0.908532,38,1.006908,0.993139,0.982239
39,0.169963,0.330678,0.372539,0.330678,0.372539,0.472743,0.457763,120.377207,0.848635,39,1.032723,0.968314,0.973111
40,0.176394,0.348751,0.336070,0.348751,0.336070,0.496029,0.452779,86.937446,0.879648,40,1.095521,0.912808,0.975818
