R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.361450,0.024882,0.214246,0.024882,0.214246,0.896111,0.513567,1.098814,0.780873,1,1.744878,0.573106,0.983128
2,0.366246,0.066013,0.111037,0.066013,0.111037,0.882710,0.528281,5.763352,0.786591,2,1.670910,0.598476,0.977490
3,0.407072,-0.061841,0.078227,-0.061841,0.078227,0.829204,0.625057,1.084803,0.823457,3,1.326605,0.753804,0.980464
4,0.417789,-0.073551,0.225924,-0.073551,0.225924,0.761196,0.698830,96.317219,0.822513,4,1.089244,0.918068,0.977319
5,0.447585,0.096727,0.412205,0.096727,0.412205,0.856081,0.665689,89.014469,0.854754,5,1.286009,0.777600,0.984656
6,0.471084,-0.014823,0.457033,-0.014823,0.457033,0.885150,0.677629,89.129891,0.820049,6,1.306247,0.765552,0.979876
7,0.447773,-0.015357,0.426427,-0.015357,0.426427,0.857777,0.664651,91.278467,0.872152,7,1.290566,0.774854,0.988584
8,0.419103,-0.009084,0.504266,-0.009084,0.504266,0.765159,0.697396,96.314697,0.902106,8,1.097167,0.911439,0.989076
9,0.398252,-0.002365,0.692269,-0.002365,0.692269,0.752941,0.673453,172.675716,0.896136,9,1.118030,0.894431,0.987667
10,0.383948,-0.006398,0.726186,-0.006398,0.726186,0.783399,0.624022,179.131512,0.887352,10,1.255403,0.796557,0.988618
11,0.394791,0.000333,0.777347,0.000333,0.777347,0.757753,0.663360,0.216442,0.893715,11,1.142295,0.875430,0.988308
12,0.420041,0.013463,0.873109,0.013463,0.873109,0.760768,0.702992,94.950752,0.894735,12,1.082186,0.924055,0.987960
13,0.438411,0.012620,0.927557,0.012620,0.927557,0.826168,0.675652,90.624272,0.888295,13,1.222770,0.817815,0.989971
14,0.448419,0.001161,0.949417,0.001161,0.949417,0.855702,0.667224,89.172648,0.878637,14,1.282480,0.779739,0.989009
15,0.431238,0.015232,1.025659,0.015232,1.025659,0.802850,0.683901,92.393279,0.890903,15,1.173927,0.851842,0.989427
16,0.403382,0.027793,1.098407,0.027793,1.098407,0.728868,0.704656,158.965431,0.908176,16,1.034361,0.966781,0.989616
17,0.386826,0.014524,1.143347,0.014524,1.143347,0.769869,0.639748,178.534354,0.891810,17,1.203395,0.830982,0.987912
18,0.381592,0.020990,1.181766,0.020990,1.181766,0.773947,0.627767,179.299410,0.890554,18,1.232856,0.811125,0.988923
19,0.404487,0.032984,1.241135,0.032984,1.241135,0.728164,0.707270,174.843907,0.896602,19,1.029541,0.971307,0.987855
20,0.427464,0.031940,1.302496,0.031940,1.302496,0.788536,0.690221,89.824699,0.895187,20,1.142440,0.875320,0.989216
21,0.439996,0.033486,1.346023,0.033486,1.346023,0.838928,0.667781,90.332355,0.886114,21,1.256292,0.795993,0.989195
22,0.435867,0.043435,1.387497,0.043435,1.387497,0.825641,0.672160,91.078126,0.883006,22,1.228340,0.814107,0.988416
23,0.413974,0.046823,1.436722,0.046823,1.436722,0.745329,0.707188,96.166923,0.903856,23,1.053934,0.948826,0.989238
24,0.391330,0.047301,1.494155,0.047301,1.494155,0.751645,0.662888,177.398640,0.898924,24,1.133895,0.881916,0.988570
25,0.378277,0.054189,1.536082,0.054189,1.536082,0.773150,0.622955,178.561715,0.890161,25,1.241101,0.805736,0.988207
26,0.389828,0.062183,1.573142,0.062183,1.573142,0.748962,0.662711,178.625145,0.899232,26,1.130148,0.884840,0.989259
27,0.415204,0.065615,1.625399,0.065615,1.625399,0.749611,0.705238,90.138065,0.903202,27,1.062919,0.940806,0.988582
