R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.251304,0.014722,0.183315,0.014722,0.183315,0.686890,0.465824,0.739817,0.819492,1,1.474569,0.678164,0.979855
2,0.250992,0.013797,0.179875,0.013797,0.179875,0.686349,0.465612,0.633145,0.823049,2,1.474079,0.678390,0.980627
3,0.252033,0.012893,0.179177,0.012893,0.179177,0.685373,0.468209,0.986918,0.808904,3,1.463817,0.683145,0.979020
4,0.279128,0.054266,0.006104,0.054266,0.006104,0.676633,0.525244,3.030353,0.825706,4,1.288226,0.776262,0.980301
5,0.290451,-0.118854,-0.096751,-0.118854,-0.096751,0.637558,0.580047,100.213106,0.819551,5,1.099149,0.909795,0.975096
6,0.281445,0.083170,0.298671,0.083170,0.298671,0.675905,0.530173,91.972794,0.871245,6,1.274877,0.784390,0.982196
7,0.297114,0.075376,0.384499,0.075376,0.384499,0.661892,0.571539,87.205670,0.879167,7,1.158085,0.863494,0.982316
8,0.275224,-0.004908,0.301517,-0.004908,0.301517,0.599482,0.584549,167.083829,0.899097,8,1.025546,0.975090,0.984911
9,0.254323,0.031398,0.334340,0.031398,0.334340,0.604028,0.536091,170.083619,0.902863,9,1.126727,0.887527,0.985079
10,0.265515,0.022264,0.515949,0.022264,0.515949,0.587026,0.575894,141.258308,0.901632,10,1.019330,0.981037,0.984225
11,0.280456,0.024558,0.565811,0.024558,0.565811,0.635170,0.562192,84.586056,0.898538,11,1.129810,0.885104,0.985954
12,0.284256,0.028097,0.609207,0.028097,0.609207,0.644713,0.561375,84.733190,0.889838,12,1.148455,0.870735,0.984007
13,0.267832,0.032114,0.639899,0.032114,0.639899,0.594066,0.574034,147.620317,0.901756,13,1.034896,0.966281,0.985349
14,0.255963,0.032872,0.670560,0.032872,0.670560,0.608358,0.535708,170.785638,0.900574,14,1.135616,0.880579,0.985519
15,0.267832,0.029859,0.711043,0.029859,0.711043,0.586915,0.581029,23.605361,0.905515,15,1.010130,0.989971,0.984689
16,0.279154,0.035439,0.738060,0.035439,0.738060,0.632379,0.562052,87.152730,0.903656,16,1.125125,0.888790,0.986434
17,0.280612,0.040246,0.764365,0.040246,0.764365,0.637228,0.560688,88.914248,0.893906,17,1.136510,0.879887,0.984297
18,0.266713,0.039504,0.799550,0.039504,0.799550,0.591257,0.574352,167.101214,0.904733,18,1.029433,0.971409,0.984815
19,0.255130,0.042564,0.821411,0.042564,0.821411,0.607537,0.534686,174.232840,0.901672,19,1.136250,0.880088,0.984928
20,0.265307,0.048177,0.846286,0.048177,0.846286,0.583241,0.579177,108.274805,0.906550,20,1.007016,0.993033,0.984974
21,0.279805,0.048402,0.872514,0.048402,0.872514,0.633557,0.562315,86.504055,0.903490,21,1.126693,0.887553,0.986601
22,0.279519,0.052545,0.888656,0.052545,0.888656,0.630910,0.564097,88.022417,0.901903,22,1.118444,0.894100,0.985636
23,0.263667,0.058063,0.913372,0.058063,0.913372,0.589331,0.569648,162.500910,0.908454,23,1.034553,0.966601,0.985840
