R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.221011,0.014125,0.168420,0.014125,0.168420,0.630613,0.446232,0.977052,0.839016,1,1.413196,0.707616,0.980311
2,0.221488,0.014390,0.167533,0.014390,0.167533,0.631196,0.446783,0.801350,0.843023,2,1.412756,0.707836,0.980664
3,0.216596,0.028064,0.133943,0.028064,0.133943,0.613643,0.449412,6.020976,0.806953,3,1.365433,0.732368,0.968830
4,0.247596,-0.061507,-0.123804,-0.061507,-0.123804,0.592778,0.531817,10.466350,0.761231,4,1.114628,0.897160,0.943525
5,0.249673,-0.071330,0.057226,-0.071330,0.057226,0.619891,0.512821,93.238891,0.815537,5,1.208787,0.827276,0.967673
6,0.251176,0.102978,0.325911,0.102978,0.325911,0.643929,0.496650,92.077949,0.861202,6,1.296546,0.771280,0.980666
7,0.246499,0.088483,0.394387,0.088483,0.394387,0.575354,0.545493,90.808203,0.858124,7,1.054741,0.948100,0.980539
8,0.226476,0.012537,0.270092,0.012537,0.270092,0.563875,0.511387,173.066746,0.898915,8,1.102640,0.906914,0.983267
9,0.224066,0.012514,0.499013,0.012514,0.499013,0.553623,0.515313,172.138793,0.898697,9,1.074343,0.930801,0.984430
10,0.242203,0.032072,0.550012,0.032072,0.550012,0.577578,0.533923,94.506765,0.906830,10,1.081762,0.924417,0.986202
11,0.250842,0.023131,0.600767,0.023131,0.600767,0.608328,0.525016,91.727104,0.893547,11,1.158684,0.863048,0.984960
12,0.234351,0.025415,0.657481,0.025415,0.657481,0.553110,0.539469,118.786647,0.907391,12,1.025286,0.975338,0.985400
13,0.220271,0.034365,0.708341,0.034365,0.708341,0.564786,0.496574,172.692953,0.891613,13,1.137365,0.879225,0.983013
14,0.229435,0.036600,0.756489,0.036600,0.756489,0.551470,0.529723,0.347844,0.897867,14,1.041054,0.960565,0.984537
15,0.245592,0.035705,0.811381,0.035705,0.811381,0.590768,0.529306,87.748181,0.903001,15,1.116118,0.895962,0.985728
16,0.245258,0.040656,0.853755,0.040656,0.853755,0.596651,0.523374,94.090364,0.898313,16,1.140009,0.877186,0.985047
17,0.228886,0.043636,0.905167,0.043636,0.905167,0.550239,0.529637,152.734694,0.905068,17,1.038899,0.962558,0.984551
18,0.220987,0.042656,0.952007,0.042656,0.952007,0.565982,0.497136,178.625675,0.901063,18,1.138486,0.878360,0.984949
19,0.232729,0.045344,0.997948,0.045344,0.997948,0.545862,0.542846,76.178529,0.909053,19,1.005556,0.994475,0.985449
20,0.245162,0.048447,1.047737,0.048447,1.047737,0.596108,0.523647,91.568561,0.896341,20,1.138378,0.878443,0.984475
21,0.240676,0.049592,1.090384,0.049592,1.090384,0.579564,0.528739,94.737477,0.902763,21,1.096125,0.912304,0.985152
22,0.224686,0.050886,1.138705,0.050886,1.138705,0.552880,0.517435,170.834368,0.909484,22,1.068500,0.935891,0.984936
23,0.221321,0.054200,1.181622,0.054200,1.181622,0.560372,0.502871,178.422268,0.901208,23,1.114344,0.897389,0.984083
24,0.236356,0.056275,1.227150,0.056275,1.227150,0.559723,0.537655,86.935365,0.900585,24,1.041044,0.960575,0.983467
25,0.244542,0.057231,1.271868,0.057231,1.271868,0.595759,0.522628,92.393433,0.895691,25,1.139930,0.877247,0.984295
26,0.235115,0.060409,1.312195,0.060409,1.312195,0.562846,0.531865,99.950828,0.895857,26,1.058251,0.944956,0.985151
27,0.222395,0.061906,1.358088,0.061906,1.358088,0.557400,0.508006,174.902299,0.896090,27,1.097231,0.911385,0.983432
28,0.224042,0.063230,1.397248,0.063230,1.397248,0.555286,0.513715,178.710337,0.903938,28,1.080923,0.925135,0.984531
29,0.238886,0.065542,1.439851,0.065542,1.439851,0.571454,0.532254,89.063194,0.901679,29,1.073647,0.931405,0.984945
30,0.242489,0.067861,1.482116,0.067861,1.482116,0.590523,0.522837,93.581091,0.903221,30,1.129459,0.885379,0.985166
31,0.230127,0.069194,1.519824,0.069194,1.519824,0.547390,0.535281,124.082789,0.911186,31,1.022622,0.977879,0.985992
32,0.220223,0.070743,1.562897,0.070743,1.562897,0.559671,0.501003,177.550369,0.895529,32,1.117101,0.895174,0.983219
33,0.227049,0.073666,1.599722,0.073666,1.599722,0.548033,0.527500,0.247123,0.907724,33,1.038924,0.962534,0.985039
34,0.239936,0.075237,1.640353,0.075237,1.640353,0.579579,0.527099,90.101570,0.903981,34,1.099563,0.909452,0.985638
35,0.239315,0.076927,1.678878,0.076927,1.678878,0.580281,0.525101,94.112332,0.902128,35,1.105085,0.904908,0.984827
36,0.226046,0.079170,1.714917,0.079170,1.714917,0.546122,0.527009,164.719922,0.903717,36,1.036266,0.965003,0.984104
37,0.219794,0.081164,1.755714,0.081164,1.755714,0.558620,0.500968,178.863568,0.905028,37,1.115081,0.896796,0.985132
38,0.230223,0.082830,1.789836,0.082830,1.789836,0.542122,0.540706,46.310170,0.899266,38,1.002619,0.997387,0.983735
39,0.240341,0.084789,1.828431,0.084789,1.828431,0.583677,0.524283,91.862450,0.907174,39,1.113286,0.898242,0.986386
40,0.235211,0.087237,1.864852,0.087237,1.864852,0.567110,0.528080,96.501483,0.907133,40,1.073910,0.931177,0.985255
41,0.222491,0.088553,1.899145,0.088553,1.899145,0.550169,0.514903,173.792218,0.907701,41,1.068491,0.935899,0.984737
42,0.221035,0.090454,1.936694,0.090454,1.936694,0.554995,0.507086,179.524880,0.901762,42,1.094478,0.913678,0.984848
43,0.233301,0.092902,1.969423,0.092902,1.969423,0.554136,0.536057,88.766518,0.906697,43,1.033726,0.967374,0.984789
44,0.239387,0.094638,2.005330,0.094638,2.005330,0.582235,0.523494,92.517930,0.903571,44,1.112209,0.899112,0.985460
45,0.231392,0.096275,2.038794,0.096275,2.038794,0.553091,0.532674,103.044862,0.906227,45,1.038329,0.963086,0.985015
46,0.220653,0.098247,2.071731,0.098247,2.071731,0.553324,0.507739,176.497192,0.898990,46,1.089780,0.917617,0.983722
47,0.223684,0.100016,2.106009,0.100016,2.106009,0.550374,0.517472,0.403303,0.902493,47,1.063584,0.940217,0.984145
48,0.235354,0.102039,2.137342,0.102039,2.137342,0.564731,0.530627,90.110393,0.904814,48,1.064270,0.939611,0.984870
49,0.237669,0.103739,2.171298,0.103739,2.171298,0.577584,0.523922,93.854172,0.906770,49,1.102423,0.907093,0.985552
50,0.227645,0.105158,2.202266,0.105158,2.202266,0.543108,0.533682,142.604581,0.900161,50,1.017661,0.982645,0.984519
51,0.220271,0.106887,2.233523,0.106887,2.233523,0.555953,0.504464,178.711277,0.901585,51,1.102066,0.907386,0.983851
52,0.226476,0.108732,2.265518,0.108732,2.265518,0.544216,0.529860,3.105094,0.903725,52,1.027095,0.973620,0.984083
53,0.236595,0.110805,2.295444,0.110805,2.295444,0.571902,0.526737,91.272598,0.902673,53,1.085744,0.921027,0.984411
54,0.235354,0.112224,2.327090,0.112224,2.327090,0.569008,0.526639,95.679352,0.903629,54,1.080450,0.925540,0.984772
55,0.224615,0.114062,2.355956,0.114062,2.355956,0.545259,0.524500,169.953084,0.900899,55,1.039578,0.961929,0.983747
56,0.220295,0.115476,2.386377,0.115476,2.386377,0.553573,0.506687,0.117940,0.898744,56,1.092533,0.915304,0.984010
57,0.229602,0.117423,2.415739,0.117423,2.415739,0.542952,0.538425,83.231848,0.909108,57,1.008409,0.991661,0.985455
58,0.237048,0.119220,2.444313,0.119220,2.444313,0.575450,0.524493,91.932387,0.904403,58,1.097155,0.911448,0.985514
59,0.231774,0.120771,2.473910,0.120771,2.473910,0.556903,0.529902,98.615223,0.895542,59,1.050956,0.951515,0.984191
