R ,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
105,0.590570,-0.788032,1.047470,-0.788032,1.047470,0.927830,0.810426,88.102523,0.872874,105,1.144867,0.873464,0.987002
106,0.604340,-0.801237,0.989270,-0.801237,0.989270,0.972518,0.791214,88.029123,0.875212,106,1.229146,0.813573,0.987107
107,0.601999,-0.814748,0.931267,-0.814748,0.931267,0.966299,0.793221,87.430029,0.872800,107,1.218195,0.820886,0.987471
108,0.584798,-0.829028,0.868453,-0.829028,0.868453,0.912499,0.815988,85.726012,0.874585,108,1.118276,0.894234,0.986740
109,0.558279,-0.843117,0.801236,-0.843117,0.801236,0.856065,0.830337,13.836377,0.885403,109,1.030984,0.969947,0.986887
110,0.536349,-0.857251,0.732047,-0.857251,0.732047,0.889747,0.767522,2.483572,0.868355,110,1.159246,0.862629,0.986148
111,0.526543,-0.871655,0.663229,-0.871655,0.663229,0.906129,0.739867,1.269105,0.862328,111,1.224719,0.816514,0.985573
112,0.537415,-0.885330,0.594535,-0.885330,0.594535,0.886275,0.772061,1.757326,0.865120,112,1.147934,0.871130,0.986049
113,0.568548,-0.899366,0.517068,-0.899366,0.517068,0.860088,0.841655,73.756886,0.874224,113,1.021900,0.978569,0.985198
114,0.594442,-0.915908,0.438414,-0.915908,0.438414,0.928051,0.815544,84.127368,0.773922,114,1.137954,0.878770,0.973021
115,0.584149,-0.932660,0.386579,-0.932660,0.386579,0.882913,0.842396,72.529636,0.745557,115,1.048097,0.954110,0.968410
116,0.554013,-0.948320,0.342427,-0.948318,0.342484,0.899382,0.784307,3.368388,0.745784,116,1.146722,0.872051,0.965655
117,0.504196,-0.967339,0.295445,-0.967312,0.295444,0.980377,0.654812,1.613370,0.559831,117,1.497187,0.667919,0.922196
118,0.476402,-0.978052,0.278323,-0.978078,0.278350,1.036441,0.585247,179.630155,0.665497,118,1.770947,0.564670,0.968359
119,0.501785,-0.990721,0.290636,-0.990763,0.290689,1.008936,0.633234,178.874100,0.712781,119,1.593307,0.627625,0.967527
