R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.405220,-0.000564,0.207498,-0.000564,0.207498,0.933417,0.552746,179.921091,0.613220,1,1.688689,0.592175,0.934315
2,0.405247,0.000542,0.205217,0.000526,0.205232,0.929951,0.554842,0.215059,0.692327,2,1.676064,0.596636,0.963630
3,0.406324,0.017050,0.139791,0.017050,0.139791,0.917414,0.563920,5.501789,0.546227,3,1.626851,0.614685,0.910167
4,0.446665,-0.132641,-0.160505,-0.132735,-0.160384,0.871390,0.652648,178.782609,0.725813,4,1.335161,0.748973,0.963219
5,0.462617,-0.123860,0.269470,-0.123869,0.269491,0.799484,0.736753,106.749325,0.746497,5,1.085145,0.921536,0.960417
6,0.500724,0.061853,0.384703,0.061853,0.384703,0.897565,0.710301,89.906391,0.640656,6,1.263640,0.791365,0.938895
7,0.511814,-0.012556,0.323720,-0.012556,0.323720,0.939493,0.693632,89.629053,0.709943,7,1.354456,0.738304,0.960211
8,0.488661,-0.030410,0.392043,-0.030410,0.392043,0.908924,0.684527,91.319515,0.722357,8,1.327813,0.753118,0.963520
9,0.456047,-0.023541,0.486610,-0.023541,0.486610,0.801999,0.724012,96.817943,0.901475,9,1.107714,0.902760,0.988184
10,0.432684,-0.019623,0.647585,-0.019623,0.647585,0.767281,0.718003,171.829136,0.891534,10,1.068632,0.935776,0.986429
11,0.418991,-0.023400,0.680360,-0.023400,0.680360,0.804719,0.662935,179.516704,0.888859,11,1.213874,0.823809,0.987213
12,0.424484,-0.005729,0.736177,-0.005729,0.736177,0.774381,0.697938,174.887724,0.897376,12,1.109528,0.901284,0.987196
13,0.452552,-0.001472,0.793922,-0.001472,0.793922,0.788738,0.730543,94.772427,0.893167,13,1.079660,0.926217,0.987385
14,0.470239,-0.000258,0.837815,-0.000258,0.837815,0.851536,0.703113,90.820937,0.893715,14,1.211094,0.825700,0.988946
15,0.473734,0.008475,0.867989,0.008475,0.867989,0.875940,0.688605,90.498915,0.878706,15,1.272050,0.786132,0.987997
16,0.455154,0.017537,0.913467,0.017537,0.913467,0.811059,0.714522,91.000180,0.895802,16,1.135106,0.880975,0.988020
17,0.432946,0.020229,0.963013,0.020229,0.963013,0.755230,0.729902,171.791835,0.892975,17,1.034701,0.966463,0.986349
18,0.416153,0.028073,0.992478,0.028073,0.992478,0.790249,0.670501,177.133797,0.873146,18,1.178595,0.848468,0.984519
19,0.415549,0.039057,1.019810,0.039057,1.019810,0.784696,0.674265,177.527550,0.892154,19,1.163779,0.859269,0.987540
20,0.444273,0.045763,1.061406,0.045763,1.061406,0.764496,0.739921,96.866112,0.896442,20,1.033213,0.967854,0.986721
21,0.461329,0.052259,1.096452,0.052259,1.096452,0.829530,0.708091,90.305124,0.895146,21,1.171502,0.853605,0.988011
22,0.468425,0.062430,1.114362,0.062430,1.114362,0.867923,0.687178,90.730584,0.887690,22,1.263025,0.791750,0.988164
23,0.455206,0.071466,1.135867,0.071466,1.135867,0.821605,0.705431,91.643222,0.894660,23,1.164685,0.858601,0.988698
24,0.433840,0.078690,1.169814,0.078690,1.169814,0.746024,0.740434,138.979727,0.896999,24,1.007549,0.992507,0.986465
25,0.417415,0.088372,1.192772,0.088372,1.192772,0.782246,0.679414,178.112005,0.890278,25,1.151355,0.868542,0.986767
26,0.411265,0.099938,1.202877,0.099938,1.202877,0.787136,0.665245,178.515693,0.882049,26,1.183227,0.845146,0.987537
27,0.434865,0.109034,1.225001,0.109034,1.225001,0.748031,0.740192,167.273402,0.907944,27,1.010591,0.989520,0.988294
28,0.453051,0.117891,1.249807,0.117891,1.249807,0.810132,0.712035,89.671244,0.895552,28,1.137769,0.878913,0.987371
29,0.465140,0.128790,1.260394,0.128790,1.260394,0.859560,0.688998,90.088581,0.886449,29,1.247550,0.801571,0.987640
30,0.456494,0.139158,1.263454,0.139158,1.263454,0.830935,0.699484,90.794358,0.898440,30,1.187925,0.841804,0.989546
31,0.435995,0.147948,1.280243,0.147948,1.280243,0.756860,0.733459,98.027735,0.905483,31,1.031904,0.969082,0.988353
32,0.418571,0.160338,1.296291,0.160338,1.296291,0.773289,0.689188,177.590844,0.889628,32,1.122030,0.891242,0.986314
33,0.408584,0.171730,1.295707,0.171730,1.295707,0.787638,0.660489,179.190609,0.890033,33,1.192508,0.838569,0.986829
34,0.427217,0.183324,1.298388,0.183324,1.298388,0.755434,0.720049,0.566181,0.902615,34,1.049143,0.953159,0.987606
35,0.447112,0.194564,1.310460,0.194564,1.310460,0.795119,0.715969,88.466946,0.901796,35,1.110550,0.900455,0.988237
36,0.462013,0.207062,1.315237,0.207062,1.315237,0.851350,0.690964,90.180719,0.882552,36,1.232119,0.811610,0.987224
37,0.457966,0.218265,1.306274,0.218265,1.306274,0.838188,0.695668,90.697292,0.891081,37,1.204868,0.829966,0.987952
38,0.437756,0.229724,1.303608,0.229724,1.303608,0.768113,0.725633,92.827803,0.896339,38,1.058541,0.944696,0.987667
39,0.420279,0.243035,1.308586,0.243035,1.308586,0.764367,0.700077,177.946332,0.893259,39,1.091833,0.915891,0.986065
40,0.407034,0.255501,1.301095,0.255501,1.301095,0.785846,0.659482,179.340143,0.892032,40,1.191610,0.839201,0.986874
41,0.420805,0.268765,1.286889,0.268765,1.286889,0.762109,0.703030,179.314184,0.903823,41,1.084034,0.922480,0.988334
42,0.441041,0.281999,1.282391,0.281999,1.282391,0.777367,0.722376,88.655433,0.899977,42,1.076125,0.929260,0.987409
43,0.458807,0.295238,1.278699,0.295238,1.278699,0.841343,0.694331,89.807572,0.888513,43,1.211733,0.825264,0.987388
