R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.469735,-0.016366,0.193422,-0.016366,0.193422,1.162841,0.514331,179.459166,0.665261,1,2.260879,0.442306,0.977046
2,0.470219,-0.016602,0.192795,-0.016602,0.192795,1.163923,0.514382,179.379251,0.663916,2,2.262759,0.441938,0.9758
3,0.468747,-0.016184,0.192484,-0.016192,0.192473,1.166383,0.511691,179.284575,0.668783,3,2.279469,0.438699,0.979442
4,0.468989,-0.017991,0.190932,-0.01794,0.190942,1.16933,0.510664,179.529197,0.645762,4,2.289822,0.436715,0.976429
5,0.500987,0.070801,0.017241,0.070801,0.017241,1.165492,0.547302,1.460407,0.699612,5,2.129523,0.469589,0.977965
6,0.538848,-0.087386,0.0071,-0.087386,0.0071,1.041866,0.658514,176.298743,0.781158,6,1.582148,0.632052,0.979364
7,0.576996,0.010649,0.323995,0.010649,0.323995,0.897442,0.818608,160.868313,0.842622,7,1.096303,0.912156,0.979404
8,0.658231,0.055061,0.410887,0.055059,0.410902,0.980642,0.85463,89.280393,0.841619,8,1.147445,0.871501,0.98448
9,0.69304,-0.035378,0.485209,-0.035378,0.485209,1.096008,0.805109,88.942884,0.831281,9,1.361315,0.734584,0.986619
10,0.696664,0.00598,0.53861,0.00598,0.53861,1.15404,0.768622,90.358411,0.828345,10,1.501441,0.666027,0.988548
11,0.69987,0.008448,0.583427,0.008448,0.583427,1.177447,0.756809,90.843021,0.785768,11,1.555804,0.642755,0.986702
12,0.696642,-0.004712,0.633832,-0.00471,0.633851,1.151114,0.770551,89.901867,0.811823,12,1.493885,0.669396,0.989457
13,0.683948,0.003201,0.680976,0.003203,0.681017,1.107761,0.786117,89.831216,0.757945,13,1.409154,0.709645,0.986568
14,0.630757,0.01074,0.749733,0.01074,0.749733,0.965345,0.831936,93.644414,0.886132,14,1.16036,0.861802,0.990123
15,0.59059,0.012569,0.796368,0.012569,0.796368,0.896148,0.839105,173.582647,0.887158,15,1.06798,0.936347,0.989277
16,0.569199,0.007647,0.823537,0.007647,0.823537,0.938913,0.771879,179.490434,0.882182,16,1.216399,0.822099,0.989482
17,0.562523,0.016956,0.84835,0.016956,0.84835,0.939085,0.762686,177.44313,0.864746,17,1.231287,0.812158,0.986083
18,0.55835,0.020839,0.866682,0.020839,0.866682,0.934238,0.760956,178.15982,0.88409,18,1.227716,0.81452,0.991131
19,0.605194,0.020607,0.904542,0.020607,0.904542,0.87966,0.875972,110.932189,0.892995,19,1.00421,0.995807,0.989728
