R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.200985,0.009104,0.173808,0.009104,0.173808,0.582928,0.438994,4.885154,0.830948,1,1.327874,0.753084,0.970920
2,0.201091,0.007631,0.172272,0.007631,0.172272,0.584861,0.437774,5.255554,0.812036,2,1.335990,0.748509,0.970487
3,0.220210,0.070708,0.115418,0.070708,0.115418,0.578095,0.485007,10.850591,0.838538,3,1.191932,0.838974,0.976180
4,0.230278,-0.095425,-0.020344,-0.095425,-0.020344,0.579204,0.506211,92.945004,0.855196,4,1.144195,0.873977,0.977638
5,0.214339,-0.016469,0.243522,-0.016469,0.243522,0.578270,0.471932,93.409764,0.848621,5,1.225325,0.816110,0.975544
6,0.216161,0.132899,0.370407,0.132899,0.370407,0.529129,0.520148,44.112962,0.896268,6,1.017267,0.983026,0.982466
7,0.207980,0.029088,0.287388,0.029088,0.287388,0.541360,0.489153,179.266282,0.897383,7,1.106728,0.903564,0.983955
8,0.211583,0.003403,0.341900,0.003403,0.341900,0.542789,0.496317,92.943236,0.899157,8,1.093634,0.914383,0.984418
9,0.215865,0.030294,0.531884,0.030294,0.531884,0.555008,0.495213,92.240556,0.901970,9,1.120746,0.892262,0.984913
10,0.205966,0.026189,0.574599,0.026189,0.574599,0.522180,0.502210,176.294479,0.901225,10,1.039765,0.961755,0.984100
11,0.203316,0.035703,0.607587,0.035703,0.607587,0.528012,0.490274,178.753405,0.892470,11,1.076973,0.928528,0.983492
12,0.213957,0.038642,0.654118,0.038642,0.654118,0.543420,0.501304,89.804472,0.890553,12,1.084013,0.922498,0.984060
13,0.214169,0.043401,0.690482,0.043401,0.690482,0.549129,0.496584,89.552292,0.907298,13,1.105812,0.904312,0.985997
14,0.203698,0.045868,0.725988,0.045868,0.725988,0.522277,0.496588,179.942726,0.901066,14,1.051731,0.950813,0.983472
15,0.203761,0.049840,0.757701,0.049840,0.757701,0.524620,0.494524,177.316836,0.890405,15,1.060859,0.942633,0.982774
16,0.213597,0.056718,0.794943,0.056718,0.794943,0.546390,0.497739,89.643422,0.890198,16,1.097744,0.910959,0.984082
17,0.211986,0.059043,0.822403,0.059043,0.822403,0.540162,0.499681,89.592501,0.894085,17,1.081013,0.925058,0.983382
18,0.202532,0.065264,0.855383,0.065264,0.855383,0.524848,0.491327,179.137300,0.902871,18,1.068227,0.936131,0.984088
19,0.204058,0.070723,0.879485,0.070723,0.879485,0.520818,0.498860,179.116988,0.902660,19,1.044017,0.957839,0.984155
20,0.213257,0.076377,0.908102,0.076377,0.908102,0.547703,0.495757,89.316296,0.896645,20,1.104782,0.905156,0.983768
21,0.210036,0.081779,0.930570,0.081779,0.930570,0.532821,0.501906,88.564923,0.902218,21,1.061595,0.941978,0.984061
22,0.200921,0.087611,0.954771,0.087611,0.954771,0.524832,0.487434,179.831480,0.898574,22,1.076724,0.928743,0.984115
23,0.205097,0.095526,0.973713,0.095526,0.973713,0.516883,0.505216,177.562074,0.899098,23,1.023093,0.977428,0.983583
24,0.213342,0.099999,0.996019,0.099999,0.996019,0.548648,0.495101,88.622394,0.899807,24,1.108154,0.902402,0.984304
25,0.208658,0.108153,1.011196,0.108153,1.011196,0.527544,0.503600,88.933838,0.903162,25,1.047545,0.954613,0.984695
26,0.200412,0.114262,1.030446,0.114262,1.030446,0.525172,0.485885,179.939336,0.900392,26,1.080858,0.925191,0.982695
27,0.205500,0.122419,1.043208,0.122419,1.043208,0.513419,0.509624,15.434204,0.899184,27,1.007446,0.992609,0.983116
28,0.212664,0.128915,1.059343,0.128915,1.059343,0.546613,0.495363,87.931265,0.899755,28,1.103460,0.906241,0.983965
29,0.207005,0.136711,1.070049,0.136711,1.070049,0.521310,0.505585,86.929212,0.902893,29,1.031103,0.969835,0.984178
30,0.200052,0.145223,1.083079,0.145223,1.083079,0.524162,0.485946,179.761182,0.898773,30,1.078642,0.927091,0.984355
31,0.205902,0.153297,1.090740,0.153297,1.090740,0.514157,0.509889,72.520500,0.907909,31,1.008369,0.991701,0.984893
32,0.211837,0.161571,1.100668,0.161571,1.100668,0.545133,0.494778,87.523839,0.903068,32,1.101774,0.907627,0.985261
33,0.205733,0.169972,1.105737,0.169972,1.105737,0.515427,0.508214,77.680121,0.899019,33,1.014192,0.986006,0.983783
34,0.200540,0.179127,1.112932,0.179127,1.112932,0.523857,0.487414,0.536422,0.900963,34,1.074768,0.930433,0.984290
35,0.206496,0.187747,1.115227,0.187747,1.115227,0.518906,0.506678,83.943094,0.903543,35,1.024133,0.976435,0.984438
36,0.210799,0.197832,1.119739,0.197832,1.119739,0.541633,0.495534,86.756836,0.898641,36,1.093029,0.914889,0.983923
37,0.204143,0.206744,1.119490,0.206744,1.119490,0.511679,0.507981,28.470428,0.903035,37,1.007280,0.992772,0.984664
38,0.200836,0.216345,1.120369,0.216345,1.120369,0.521686,0.490166,2.171788,0.901092,38,1.064305,0.939580,0.984007
39,0.207238,0.226509,1.117350,0.226509,1.117350,0.523679,0.503864,84.841424,0.902722,39,1.039326,0.962162,0.984146
40,0.209951,0.236642,1.116069,0.236642,1.116069,0.539207,0.495760,87.418178,0.897845,40,1.087637,0.919424,0.984299
41,0.203295,0.246804,1.110312,0.246804,1.110312,0.513133,0.504438,8.801169,0.906273,41,1.017237,0.983055,0.984248
42,0.200646,0.257035,1.106018,0.257035,1.106018,0.518799,0.492426,2.437389,0.889230,42,1.053556,0.949166,0.982154
