R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.121143,-0.021784,0.159769,-0.021784,0.159769,0.439020,0.351338,179.922358,0.868857,1,1.249568,0.800277,0.978089
2,0.120710,-0.020447,0.161525,-0.020447,0.161525,0.439344,0.349824,0.106637,0.876193,2,1.255901,0.796241,0.978464
3,0.119136,0.026203,0.168542,0.026203,0.168542,0.432128,0.351029,5.726019,0.886608,3,1.231031,0.812327,0.977636
4,0.136241,0.004379,-0.072910,0.004379,-0.072910,0.422853,0.410230,66.443992,0.887524,4,1.030773,0.970146,0.978382
5,0.132569,-0.154813,-0.006917,-0.154813,-0.006917,0.438950,0.384536,96.762390,0.883370,5,1.141504,0.876038,0.977385
6,0.121371,0.000165,0.268803,0.000151,0.268880,0.425620,0.363082,94.624003,0.880085,6,1.172240,0.853068,0.977590
7,0.118566,0.060981,0.314057,0.060981,0.314057,0.407388,0.370564,3.197777,0.860372,7,1.099374,0.909609,0.974508
8,0.124564,-0.057061,0.310577,-0.057061,0.310577,0.403158,0.393394,3.916063,0.890271,8,1.024819,0.975782,0.977364
9,0.123150,-0.038661,0.202563,-0.038661,0.202563,0.416492,0.376477,92.081967,0.886085,9,1.106289,0.903923,0.978438
10,0.115260,0.006387,0.366746,0.006387,0.366746,0.399757,0.367105,170.444565,0.897550,10,1.088944,0.918321,0.977468
11,0.121417,-0.011846,0.399561,-0.011846,0.399561,0.400788,0.385722,175.235328,0.889519,11,1.039060,0.962408,0.977598
12,0.125271,-0.009381,0.414893,-0.009381,0.414893,0.416106,0.383317,84.378417,0.913847,12,1.085540,0.921201,0.982121
13,0.116445,0.008819,0.427731,0.008819,0.427731,0.399982,0.370673,174.995435,0.880772,13,1.079070,0.926724,0.977038
14,0.118338,0.012526,0.438348,0.012526,0.438348,0.396630,0.379883,162.677556,0.899937,14,1.044085,0.957776,0.979889
15,0.124633,0.000289,0.453567,0.000289,0.453567,0.413595,0.383678,86.909040,0.905326,15,1.077973,0.927667,0.980709
16,0.118224,0.007917,0.465113,0.007917,0.465113,0.402599,0.373890,179.336797,0.897451,16,1.076786,0.928690,0.978113
17,0.118817,0.024953,0.470909,0.024953,0.470909,0.398887,0.379262,161.552864,0.887122,17,1.051744,0.950802,0.978863
18,0.122991,0.019412,0.480610,0.019412,0.480610,0.407694,0.384103,89.041004,0.897211,18,1.061418,0.942136,0.978411
19,0.118658,0.023203,0.493344,0.023203,0.493344,0.401627,0.376169,2.193956,0.902365,19,1.067678,0.936612,0.979020
20,0.120391,0.029016,0.492144,0.029016,0.492144,0.400873,0.382381,168.957062,0.895007,20,1.048359,0.953871,0.979497
21,0.122626,0.033864,0.497032,0.033864,0.497032,0.406132,0.384436,95.308456,0.903826,21,1.056437,0.946578,0.980310
22,0.118703,0.035620,0.503322,0.035620,0.503322,0.399850,0.377986,179.279991,0.902712,22,1.057844,0.945319,0.979765
23,0.120505,0.040615,0.502139,0.040615,0.502139,0.401990,0.381680,171.430965,0.897454,23,1.053211,0.949477,0.978700
24,0.123105,0.046608,0.504659,0.046608,0.504659,0.406507,0.385582,92.668942,0.896459,24,1.054271,0.948523,0.978874
25,0.119433,0.051196,0.504595,0.051196,0.504595,0.398172,0.381912,177.334344,0.900407,25,1.042574,0.959164,0.978696
26,0.119821,0.056084,0.501182,0.056084,0.501182,0.402573,0.378963,174.746091,0.901710,26,1.062302,0.941352,0.979402
27,0.123219,0.062427,0.499057,0.062427,0.499057,0.404885,0.387485,92.977307,0.885933,27,1.044904,0.957026,0.977034
28,0.120186,0.068818,0.494295,0.068818,0.494295,0.398620,0.383887,176.001329,0.904456,28,1.038377,0.963041,0.979827
29,0.119980,0.074130,0.488188,0.074130,0.488188,0.405080,0.377120,173.754117,0.882760,29,1.074142,0.930975,0.977608
