R,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.440466,0.000010,0.198604,0.000010,0.198604,1.051714,0.533243,0.610724,0.724456,1,1.972299,0.507023,0.982719
2,0.436711,0.015086,0.137872,0.015086,0.137872,1.027112,0.541361,4.249149,0.765749,2,1.897279,0.527071,0.981502
3,0.491838,-0.203094,-0.018673,-0.203094,-0.018673,1.006038,0.622469,1.172812,0.760956,3,1.616204,0.618734,0.976887
4,0.496761,-0.093211,0.302100,-0.093212,0.302117,0.825222,0.766456,163.322613,0.843580,4,1.076672,0.928788,0.982347
5,0.564818,0.118264,0.376770,0.118264,0.376770,0.898831,0.800093,86.367487,0.843952,5,1.123409,0.890148,0.981400
6,0.601519,-0.029325,0.333014,-0.029325,0.333014,0.995043,0.769693,89.187997,0.861117,6,1.292778,0.773528,0.984835
7,0.586401,-0.040936,0.414156,-0.040936,0.414156,1.025890,0.727787,90.290245,0.849206,7,1.409603,0.709420,0.987046
8,0.578917,-0.009349,0.496800,-0.009349,0.496800,0.988937,0.745345,90.423799,0.858385,8,1.326817,0.753684,0.988578
9,0.552534,-0.012825,0.713545,-0.012825,0.713545,0.898293,0.783162,90.746307,0.891925,9,1.147008,0.871833,0.988721
10,0.521726,-0.022693,0.737109,-0.022693,0.737109,0.838207,0.792504,8.277667,0.887880,10,1.057669,0.945475,0.988738
11,0.491714,-0.017126,0.721820,-0.017126,0.721820,0.875648,0.714978,177.380004,0.868247,11,1.224720,0.816513,0.986875
12,0.479281,0.013705,0.916195,0.013705,0.916195,0.892154,0.684007,174.583387,0.865545,12,1.304306,0.766691,0.987651
13,0.510686,-0.014654,0.935395,-0.014654,0.935395,0.852653,0.762591,177.594010,0.878836,13,1.118101,0.894373,0.987261
14,0.540400,0.004982,1.023538,0.004982,1.023538,0.866539,0.794031,92.735133,0.887778,14,1.091318,0.916324,0.987594
15,0.563351,0.020302,1.097230,0.020302,1.097230,0.947407,0.757099,91.188412,0.879979,15,1.251364,0.799128,0.989107
16,0.576132,0.014829,1.139855,0.014829,1.139855,0.996872,0.735856,89.902242,0.868262,16,1.354711,0.738165,0.988608
17,0.565589,0.020417,1.193910,0.020417,1.193910,0.962171,0.748443,89.342589,0.869578,17,1.285564,0.777869,0.988162
18,0.536819,0.034740,1.260141,0.034740,1.260141,0.866387,0.788908,89.034679,0.895353,18,1.098211,0.910572,0.988937
19,0.504644,0.036209,1.336393,0.036209,1.336393,0.838968,0.765860,178.525560,0.894320,19,1.095458,0.912860,0.987808
20,0.482538,0.037661,1.388815,0.037661,1.388815,0.884984,0.694235,178.280976,0.881831,20,1.274762,0.784460,0.987407
21,0.478087,0.048133,1.432956,0.048133,1.432956,0.881466,0.690576,176.752560,0.886942,21,1.276421,0.783440,0.989298
22,0.507826,0.058918,1.492524,0.058918,1.492524,0.832426,0.776747,173.420626,0.889228,22,1.071683,0.933112,0.987143
23,0.538734,0.061447,1.562624,0.061447,1.562624,0.871568,0.787016,91.438665,0.896174,23,1.107433,0.902989,0.988796
24,0.558999,0.070488,1.615701,0.070488,1.615701,0.952168,0.747494,90.050819,0.883001,24,1.273813,0.785044,0.989524
25,0.566011,0.080697,1.660448,0.080697,1.660448,0.981411,0.734318,89.539163,0.870228,25,1.336493,0.748227,0.988449
26,0.553479,0.085017,1.706884,0.085017,1.706884,0.933287,0.755086,89.695306,0.880053,26,1.236001,0.809061,0.988718
27,0.524262,0.090029,1.764366,0.090029,1.764366,0.839158,0.795454,89.721834,0.897646,27,1.054943,0.947918,0.988143
28,0.493579,0.101815,1.830544,0.101815,1.830544,0.848101,0.741001,179.159013,0.890746,28,1.144533,0.873719,0.987366
29,0.472070,0.108447,1.879108,0.108447,1.879108,0.882524,0.681067,178.005688,0.870913,29,1.295795,0.771727,0.987003
30,0.480972,0.115149,1.914359,0.115149,1.914359,0.867200,0.706172,176.822461,0.881407,30,1.228031,0.814312,0.987644
31,0.510686,0.125367,1.968258,0.125367,1.968258,0.818779,0.794140,167.288473,0.899776,31,1.031026,0.969908,0.988616
32,0.536198,0.137400,2.029807,0.137400,2.029807,0.883236,0.772963,91.001254,0.887073,32,1.142662,0.875149,0.988789
33,0.555643,0.143353,2.078303,0.143353,2.078303,0.955403,0.740490,89.614853,0.876195,33,1.290230,0.775056,0.988805
34,0.559099,0.152198,2.117449,0.152198,2.117449,0.965905,0.736995,89.403501,0.869190,34,1.310600,0.763009,0.988178
35,0.539530,0.161547,2.157229,0.161547,2.157229,0.905163,0.758924,89.695063,0.880890,35,1.192692,0.838439,0.987597
36,0.514217,0.169487,2.210727,0.169487,2.210727,0.809885,0.808412,93.973998,0.891480,36,1.001822,0.998181,0.987584
37,0.484428,0.178546,2.266584,0.178546,2.266584,0.855670,0.720831,178.626423,0.876171,37,1.187061,0.842417,0.986380
38,0.468539,0.188718,2.310010,0.188718,2.310010,0.878307,0.679219,177.785457,0.883877,38,1.293113,0.773327,0.988019
39,0.484528,0.198088,2.341673,0.198088,2.341673,0.854616,0.721867,176.710638,0.881871,39,1.183896,0.844668,0.987383
40,0.513570,0.208098,2.390722,0.208098,2.390722,0.814927,0.802401,112.392594,0.900575,40,1.015611,0.984629,0.988608
41,0.536994,0.218273,2.443873,0.218273,2.443873,0.899021,0.760518,90.134156,0.885732,41,1.182116,0.845941,0.988760
42,0.553579,0.229628,2.489346,0.229628,2.489346,0.955060,0.738004,89.379754,0.875061,42,1.294112,0.772731,0.989005
43,0.549998,0.237143,2.522896,0.237143,2.522896,0.947249,0.739277,89.482776,0.879237,43,1.281317,0.780447,0.987941
44,0.529310,0.246093,2.559644,0.246093,2.559644,0.872897,0.772071,89.524413,0.885815,44,1.130590,0.884494,0.987292
45,0.504047,0.256602,2.605811,0.256602,2.605811,0.819584,0.783046,178.776092,0.896379,45,1.046662,0.955418,0.988058
46,0.475427,0.265655,2.658818,0.265655,2.658818,0.862746,0.701635,178.211940,0.888662,46,1.229622,0.813258,0.988369
47,0.468464,0.274778,2.693697,0.274778,2.693697,0.875131,0.681575,177.654739,0.883736,47,1.283982,0.778827,0.987913
48,0.488208,0.285758,2.724509,0.285758,2.724509,0.841020,0.739109,176.190095,0.881388,48,1.137883,0.878825,0.987328
49,0.516156,0.295325,2.767814,0.295325,2.767814,0.832312,0.789596,95.476096,0.900024,49,1.054098,0.948678,0.988382
50,0.538709,0.305684,2.816900,0.305684,2.816900,0.911155,0.752787,89.704248,0.888562,50,1.210376,0.826190,0.988277
51,0.549551,0.315717,2.856677,0.315717,2.856677,0.951092,0.735691,89.377007,0.876693,51,1.292787,0.773523,0.988992
52,0.540997,0.325228,2.888003,0.325228,2.888003,0.923094,0.746206,89.563912,0.887017,52,1.237050,0.808375,0.988752
53,0.518195,0.334373,2.919731,0.334373,2.919731,0.841640,0.783930,90.415621,0.898516,53,1.073615,0.931432,0.988498
54,0.493777,0.344817,2.962423,0.344817,2.962423,0.828909,0.758463,178.164225,0.903061,54,1.092880,0.915013,0.988673
55,0.469161,0.355546,3.009815,0.355546,3.009815,0.866517,0.689374,178.178699,0.880574,55,1.256962,0.795569,0.987440
56,0.471548,0.365717,3.041778,0.365717,3.041778,0.865658,0.693569,177.440542,0.877453,56,1.248120,0.801205,0.987786
57,0.494250,0.376280,3.068220,0.376280,3.068220,0.821628,0.765917,173.368637,0.897086,57,1.072738,0.932194,0.988094
58,0.519289,0.387806,3.108611,0.387806,3.108611,0.852427,0.775644,92.091289,0.899604,58,1.098994,0.909923,0.988826
59,0.539729,0.399008,3.152775,0.399008,3.152775,0.923386,0.744221,89.523523,0.884618,59,1.240742,0.805970,0.988411
60,0.545050,0.409133,3.189661,0.409133,3.189661,0.944957,0.734403,89.400033,0.878319,60,1.286701,0.777181,0.989192
61,0.532443,0.419056,3.217913,0.419056,3.217913,0.898811,0.754249,89.584335,0.889947,61,1.191663,0.839163,0.988802
62,0.508274,0.429394,3.246877,0.429394,3.246877,0.813832,0.795194,94.982813,0.897628,62,1.023438,0.977098,0.988586
63,0.482986,0.439893,3.285427,0.439893,3.285427,0.836919,0.734787,178.116113,0.899431,63,1.138996,0.877966,0.988071
64,0.464188,0.450435,3.328868,0.450435,3.328868,0.867107,0.681602,178.351504,0.876008,64,1.272160,0.786064,0.988012
65,0.475576,0.462458,3.356322,0.462458,3.356322,0.850052,0.712336,177.411824,0.892126,65,1.193331,0.837991,0.987888
66,0.497482,0.473325,3.382909,0.473325,3.382909,0.806221,0.785659,165.284946,0.897791,66,1.026172,0.974496,0.988268
67,0.522547,0.484786,3.419040,0.484786,3.419040,0.871417,0.763501,90.683761,0.884679,67,1.141344,0.876160,0.988569
68,0.539231,0.496466,3.459000,0.496466,3.459000,0.930523,0.737833,89.548672,0.876260,68,1.261157,0.792923,0.988265
69,0.539405,0.507210,3.493058,0.507210,3.493058,0.932552,0.736466,89.251624,0.882545,69,1.266253,0.789731,0.989035
70,0.523691,0.517276,3.518836,0.517276,3.518836,0.873295,0.763526,89.642205,0.890430,70,1.143767,0.874304,0.988501
71,0.497259,0.528588,3.545527,0.528588,3.545527,0.805259,0.786243,173.239973,0.900204,71,1.024186,0.976385,0.987921
72,0.475228,0.539606,3.580984,0.539606,3.580984,0.847059,0.714329,178.316493,0.893488,72,1.185812,0.843304,0.987802
73,0.464163,0.552080,3.620970,0.552080,3.620970,0.866324,0.682182,178.224922,0.880769,73,1.269932,0.787444,0.987359
74,0.481171,0.562925,3.644758,0.562925,3.644758,0.835962,0.732863,176.872867,0.885578,74,1.140681,0.876669,0.986893
75,0.503077,0.574480,3.670587,0.574480,3.670587,0.810282,0.790512,100.799269,0.897921,75,1.025008,0.975602,0.988277
76,0.526102,0.586471,3.703455,0.586471,3.703455,0.888569,0.753858,90.202608,0.894201,76,1.178696,0.848395,0.988900
77,0.538088,0.597974,3.740487,0.597974,3.740487,0.932466,0.734734,89.435790,0.879620,77,1.269120,0.787948,0.988399
78,0.533463,0.608796,3.771396,0.608796,3.771396,0.913005,0.743945,89.190762,0.883645,78,1.227247,0.814832,0.988459
79,0.515062,0.619992,3.795213,0.619992,3.795213,0.846402,0.774806,90.267552,0.900074,79,1.092404,0.915412,0.988617
80,0.489227,0.630604,3.819946,0.630604,3.819946,0.817551,0.761914,177.351136,0.887969,80,1.073023,0.931946,0.987974
81,0.469658,0.642679,3.854162,0.642679,3.854162,0.855633,0.698883,178.493692,0.881024,81,1.224288,0.816802,0.987582
82,0.467346,0.654711,3.889379,0.654711,3.889379,0.857577,0.693865,177.963569,0.879492,82,1.235941,0.809100,0.987599
83,0.487835,0.666359,3.911754,0.666359,3.911754,0.821288,0.756288,175.445908,0.900689,83,1.085946,0.920856,0.988164
84,0.509244,0.678460,3.935643,0.678460,3.935643,0.831653,0.779639,92.918758,0.892654,84,1.066716,0.937457,0.987345
