0,3.1,2.4,1.7
30,3.5,2.9,1.5
60,3.4,2.8,1.6
90,3.2,2.6,
120,3,2.6,1.5
150,3,2.2,1.4
180,2.8,2.2,1.5
210,3,2.5,1.6
240,3,2.4,1.3
270,2.8,2.5,1.3
300,2.9,2.4,1.4
900,1.8,1.7,1.3
1500,1.5,1.5,1.2
2100,1.1,1.4,1.2
3900,0.9,0.9,1
5700,0.6,0.9,1
7500,0.6,0.8,0.9
9300,0.5,0.8,0.9
11100,0.4,,
12900,0.4,,
14700,0.4,0.7,0.9
