 ,Area,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
1,0.185,3.051,0.756,0.510,0.461,178.026,0.776,1,1.106,0.904,0.947
2,0.183,9.057,0.581,0.486,0.480,23.755,0.745,1,1.013,0.987,0.925
3,0.181,3.054,0.820,0.496,0.466,2.681,0.776,2,1.065,0.939,0.934
4,0.177,9.059,0.608,0.502,0.450,3.837,0.702,2,1.115,0.896,0.921
5,0.194,3.055,0.861,0.538,0.459,84.037,0.718,3,1.172,0.853,0.942
6,0.186,9.059,0.657,0.502,0.473,92.382,0.613,3,1.062,0.941,0.929
7,0.194,3.059,0.911,0.533,0.463,88.588,0.895,4,1.150,0.870,0.963
8,0.192,9.060,0.683,0.528,0.464,94.611,0.813,4,1.137,0.879,0.953
9,0.174,3.056,0.961,0.498,0.445,0.206,0.892,5,1.119,0.894,0.958
10,0.179,9.058,0.750,0.489,0.467,164.623,0.821,5,1.046,0.956,0.941
11,0.177,3.065,1.005,0.500,0.450,4.111,0.892,6,1.110,0.901,0.960
12,0.172,9.060,0.783,0.489,0.447,174.239,0.672,6,1.093,0.915,0.951
13,0.187,3.065,1.058,0.513,0.465,88.148,0.920,7,1.103,0.906,0.969
14,0.182,9.061,0.834,0.501,0.463,97.834,0.823,7,1.082,0.924,0.956
15,0.189,3.061,1.092,0.521,0.463,89.131,0.905,8,1.127,0.887,0.965
16,0.186,9.057,0.875,0.515,0.458,93.073,0.868,8,1.124,0.890,0.957
17,0.178,3.065,1.146,0.495,0.458,1.637,0.845,9,1.080,0.926,0.959
18,0.178,9.057,0.919,0.488,0.464,178.547,0.873,9,1.052,0.950,0.960
19,0.175,3.064,1.181,0.504,0.442,0.029,0.887,10,1.141,0.877,0.957
20,0.173,9.055,0.960,0.494,0.445,178.439,0.906,10,1.112,0.900,0.963
21,0.187,3.068,1.233,0.508,0.469,89.035,0.905,11,1.083,0.923,0.967
22,0.181,9.056,1.002,0.493,0.467,97.726,0.911,11,1.056,0.947,0.965
23,0.191,3.067,1.269,0.528,0.460,89.257,0.891,12,1.147,0.872,0.963
24,0.185,9.051,1.036,0.511,0.460,91.889,0.904,12,1.109,0.902,0.961
25,0.179,3.066,1.315,0.495,0.460,4.714,0.897,13,1.076,0.929,0.959
26,0.177,9.049,1.079,0.488,0.461,176.175,0.898,13,1.059,0.944,0.962
27,0.174,3.066,1.351,0.503,0.441,1.596,0.907,14,1.141,0.877,0.969
28,0.172,9.046,1.113,0.491,0.447,178.495,0.920,14,1.099,0.910,0.966
29,0.188,3.066,1.399,0.508,0.470,90.275,0.903,15,1.082,0.924,0.965
30,0.181,9.045,1.152,0.494,0.467,95.826,0.897,15,1.058,0.945,0.960
31,0.191,3.066,1.435,0.528,0.460,90.079,0.859,16,1.148,0.871,0.960
32,0.184,9.042,1.184,0.503,0.464,91.362,0.899,16,1.084,0.923,0.960
33,0.177,3.065,1.480,0.488,0.462,6.593,0.901,17,1.057,0.946,0.961
34,0.174,9.041,1.223,0.488,0.455,1.077,0.923,17,1.073,0.932,0.968
35,0.175,3.066,1.518,0.505,0.442,1.111,0.891,18,1.143,0.875,0.959
36,0.173,9.039,1.257,0.489,0.451,0.575,0.918,18,1.085,0.922,0.966
37,0.187,3.067,1.559,0.505,0.472,89.626,0.905,19,1.069,0.935,0.965
38,0.182,9.038,1.294,0.498,0.466,100.481,0.886,19,1.068,0.936,0.964
39,0.191,3.069,1.594,0.527,0.461,89.886,0.895,20,1.143,0.875,0.960
40,0.185,9.034,1.325,0.502,0.469,91.940,0.906,20,1.071,0.933,0.966
41,0.181,3.068,1.635,0.491,0.470,0.918,0.905,21,1.046,0.956,0.967
42,0.175,9.034,1.360,0.492,0.454,177.166,0.921,21,1.085,0.922,0.966
43,0.175,3.071,1.673,0.505,0.442,179.751,0.883,22,1.143,0.875,0.961
44,0.175,9.032,1.392,0.491,0.453,176.162,0.906,22,1.084,0.923,0.963
45,0.184,3.069,1.711,0.500,0.469,86.785,0.880,23,1.066,0.938,0.963
46,0.183,9.030,1.426,0.501,0.465,94.551,0.905,23,1.079,0.927,0.963
47,0.191,3.070,1.750,0.529,0.459,91.673,0.868,24,1.152,0.868,0.963
48,0.183,9.027,1.456,0.501,0.466,95.198,0.919,24,1.075,0.930,0.968
49,0.181,3.070,1.784,0.484,0.477,31.867,0.891,25,1.014,0.986,0.961
50,0.176,9.025,1.489,0.492,0.455,178.375,0.880,25,1.082,0.924,0.961
51,0.176,3.070,1.825,0.506,0.442,3.200,0.886,26,1.145,0.873,0.963
52,0.174,9.023,1.520,0.490,0.453,179.781,0.887,26,1.082,0.924,0.959
53,0.186,3.069,1.857,0.495,0.478,89.492,0.895,27,1.036,0.965,0.963
54,0.185,9.021,1.550,0.505,0.466,97.598,0.915,27,1.083,0.923,0.967
55,0.188,3.073,1.896,0.523,0.458,89.416,0.882,28,1.144,0.874,0.960
56,0.185,9.020,1.580,0.500,0.470,93.160,0.911,28,1.064,0.940,0.964
57,0.182,3.072,1.926,0.484,0.480,42.749,0.885,29,1.008,0.992,0.960
58,0.175,9.019,1.608,0.489,0.457,177.509,0.907,29,1.070,0.935,0.965
59,0.174,3.073,1.964,0.506,0.439,3.147,0.916,30,1.151,0.869,0.967
60,0.175,9.015,1.636,0.486,0.458,176.267,0.910,30,1.062,0.942,0.963
61,0.183,3.073,1.993,0.488,0.478,80.913,0.918,31,1.021,0.980,0.964
62,0.186,9.014,1.664,0.506,0.468,96.958,0.912,31,1.081,0.925,0.965
63,0.191,3.076,2.033,0.525,0.463,88.218,0.903,32,1.134,0.881,0.965
64,0.182,9.010,1.694,0.493,0.471,96.440,0.892,32,1.048,0.955,0.964
65,0.183,3.074,2.062,0.488,0.477,57.487,0.892,33,1.023,0.977,0.961
66,0.174,9.010,1.721,0.490,0.452,178.824,0.922,33,1.085,0.921,0.966
67,0.175,3.076,2.098,0.504,0.442,2.007,0.900,34,1.140,0.877,0.962
68,0.175,9.006,1.747,0.486,0.458,175.976,0.916,34,1.061,0.942,0.968
69,0.183,3.075,2.127,0.490,0.475,79.080,0.902,35,1.033,0.968,0.966
70,0.185,9.005,1.772,0.506,0.465,95.921,0.921,35,1.088,0.919,0.970
